TIME	EVENT	NODES
2.783607859175076	L	64_25
2.79419592963015	LT	n24;13_35;n24;13_44;n16;13_45
2.850928459838108	L	9_31
2.850928459838108	AT	n10;9_13;n10;9_34;n24;9_35
2.8973944525941584	LT	n24;52_25;n24;52_28;n20;52_29
2.8977892396045446	LT	n24;6_25;n24;6_28;n12;6_29
2.8987019454967395	AT	n9;105_4;n9;105_14;n24;105_15
2.901477019215071	L	2_35
2.901477019215071	AT	n16;2_23;n16;2_42;n24;2_43
2.9655247075523925	P	11_37
2.9655247075523925	P	41_29
2.9655247075523925	P	72_35
2.9655247075523925	P	89_59
2.9655247075523925	P	89_61
2.9655247075523925	P	90_33
2.9655247075523925	P	91_25
2.9655247075523925	P	92_25
2.979018148295673	P	51_25
2.979018148295673	P	52_28
2.979018148295673	P	116_3
3.084874537339605	P	49_29
3.089677211075554	D	14_61;14_104;14_105
3.1037106351690227	AT	n12;110_7;n12;110_24;n24;110_25
3.1315067640063585	L	13_44
3.1315067640063585	AT	n38;13_67;n38;13_70;n24;13_71
