TIME	EVENT	NODES
1.9896398605279662	AT	n10;42_11;n10;42_16;n13;42_17
1.9908471432601627	L	35_20
1.9908471432601627	AT	n1;35_16;n1;35_22;n13;35_23
1.9956458977546443	LT	n13;7_18;n13;7_20;n12;7_21
2.0535513797691176	L	18_24
2.053587105319201	L	89_36
2.053587105319201	AT	n10;89_29;n10;89_38;n13;89_39
2.072225396726957	L	107_8
2.072225396726957	AT	n9;107_4;n9;107_10;n13;107_11
2.072295459415	P	71_18
2.072295459415	P	105_8
2.0838091790510322	D	28_14;28_16;28_17
2.091244515012422	AT	n12;100_21;n12;100_26;n13;100_27
2.134067207386724	LT	n13;56_24;n13;56_28;n12;56_29
2.1478356869180684	L	3_16
2.1504446627423084	LT	n13;92_14;n13;92_16;n5;92_17
2.1724221585704906	LT	n13;36_24;n13;36_26;n14;36_27
