TIME	EVENT	NODES
1.7680769093411393	O	n6
1.8813788388702282	S	n6;1;n7;2;n8;3
1.911993857028475	S	n7;2;n9;4;n10;5
1.923694679252978	S	n8;3;n11;6;n12;7
1.9854867880629592	S	n11;6;n13;8;n14;9
2.225668125700548	S	n13;8;n15;10;n16;11
2.502910948502324	S	n14;9;n19;12;n20;13
2.9028419465601423	S	n15;10;n27;14;n28;15
2.9411721024977977	S	n9;4;n31;16;n32;17
2.9729747093130627	S	n28;15;n33;18;n34;19
3.0645693707283965	S	n32;17;n37;20;n38;21
3.0867932219050696	L	n10;5
3.0867932219050696	T	n19;12;n19;22;n10;23
3.1037106351690227	T	n12;7;n12;24;n24;25
3.146229668452691	F	n16;11
3.146229668452691	F	n24;25
3.146229668452691	F	n20;13
3.146229668452691	F	n10;23
3.146229668452691	F	n34;19
3.146229668452691	F	n37;20
3.146229668452691	F	n31;16
3.146229668452691	F	n19;22
3.146229668452691	F	n38;21
3.146229668452691	F	n27;14
3.146229668452691	F	n12;24
3.146229668452691	F	n33;18
