POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	4	-	38
1	6	-	30
2	7	-	46
3	103	-	30
4	8	-	30
5	9	-	36
6	10	+	30
7	39	-	44
8	2	-	44
9	11	-	56
10	11	-	57
11	13	+	50
12	19	-	54
13	102	-	30
14	43	+	51
15	45	+	26
16	19	-	56
17	20	+	28
18	21	+	40
19	22	+	34
20	10	+	32
21	30	+	54
22	24	-	32
23	25	-	30
24	26	+	40
25	28	-	40
26	28	-	42
27	29	+	34
28	30	+	56
29	37	-	62
30	30	+	58
31	31	-	28
32	32	-	30
33	33	-	30
34	34	+	38
35	35	+	42
36	36	+	52
37	36	+	54
38	37	-	64
39	37	-	66
40	38	-	34
41	71	+	36
42	105	-	16
43	39	-	46
44	40	+	34
45	41	+	32
46	42	-	28
47	14	-	96
48	14	-	97
49	46	+	36
50	47	-	28
51	48	+	54
52	48	+	56
53	101	-	28
54	49	+	32
55	89	+	64
56	50	+	38
57	51	-	36
58	52	-	30
59	53	+	32
60	55	+	28
61	56	-	56
62	57	+	42
63	56	-	58
64	58	+	30
65	59	+	38
66	60	-	28
67	61	+	30
68	61	+	32
69	62	-	32
70	63	-	28
71	64	-	28
72	65	-	28
73	66	-	30
74	67	-	32
75	16	-	36
76	69	+	54
77	70	-	34
78	14	-	70
79	14	-	72
80	15	+	36
81	16	-	38
82	17	-	36
83	17	-	38
84	109	+	24
85	109	+	26
86	18	+	42
87	72	+	38
88	73	+	28
89	74	-	32
90	75	-	32
91	77	-	38
92	78	-	30
93	88	+	51
94	80	+	30
95	42	-	30
96	82	+	32
97	83	+	36
98	84	+	36
99	100	+	50
100	85	-	36
101	86	+	30
102	100	+	52
103	87	+	36
104	88	+	34
105	89	+	66
106	90	-	38
107	91	-	26
108	92	+	26
109	93	+	34
110	107	+	16
111	94	-	28
112	95	+	30
113	96	+	36
114	97	+	46
115	97	+	48
116	98	-	28
117	99	-	58
118	110	-	14
119	100	+	68
