POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	7	-	57
1	7	-	59
2	103	-	39
3	8	-	39
4	62	-	41
5	9	-	45
6	9	-	47
7	137	+	1
8	10	+	43
9	2	-	55
10	11	-	53
11	13	+	63
12	19	-	69
13	109	+	37
14	102	-	37
15	19	-	71
16	20	+	35
17	21	+	49
18	72	+	49
19	22	+	47
20	24	-	41
21	84	+	47
22	69	+	69
23	35	+	51
24	75	-	41
25	59	+	47
26	60	-	39
27	60	-	41
28	61	+	43
29	62	-	48
30	25	-	39
31	26	+	49
32	28	-	55
33	29	+	43
34	30	+	79
35	33	-	39
36	34	+	49
37	34	+	51
38	86	+	41
39	35	+	53
40	36	+	69
41	37	-	83
42	37	-	85
43	38	-	43
44	39	-	59
45	59	+	49
46	108	+	5
47	21	+	51
48	40	+	43
49	41	+	44
50	42	-	42
51	43	+	47
52	45	+	35
53	14	-	89
54	46	+	45
55	46	+	47
56	47	-	37
57	69	+	71
58	94	-	37
59	95	+	39
60	96	+	45
61	96	+	47
62	98	-	37
63	99	-	61
64	99	-	63
65	132	+	3
66	14	-	91
67	56	-	71
68	26	+	51
69	15	+	47
70	16	-	49
71	17	-	51
72	3	+	35
73	5	-	23
74	48	+	71
75	49	+	43
76	50	+	47
77	51	-	42
78	53	+	39
79	67	-	41
80	57	+	49
81	31	-	37
82	32	-	39
83	58	+	43
84	63	-	37
85	117	+	5
86	38	-	45
87	64	-	37
88	65	-	37
89	66	-	39
90	67	-	43
91	68	-	29
92	70	-	43
93	18	+	51
94	18	+	53
95	71	+	45
96	123	+	4
97	123	+	5
98	72	+	51
99	82	+	41
100	35	+	55
101	99	-	65
102	14	-	93
103	14	-	102
104	83	+	47
105	76	-	13
106	77	-	49
107	77	-	51
108	78	-	39
109	80	+	39
110	87	+	47
111	88	+	45
112	89	+	79
113	89	+	81
114	118	-	5
115	90	-	51
116	91	-	33
117	92	+	35
118	93	+	43
