POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	3	+	4
1	4	-	3
2	5	-	3
3	6	-	3
4	7	-	3
5	103	-	1
6	8	-	3
7	9	-	3
8	10	+	3
9	2	-	3
10	11	-	4
11	13	+	3
12	19	-	5
13	102	-	4
14	19	-	7
15	20	+	3
16	21	+	3
17	22	+	3
18	24	-	3
19	25	-	3
20	26	+	4
21	27	-	3
22	28	-	3
23	29	+	3
24	30	+	3
25	31	-	3
26	32	-	3
27	33	-	3
28	34	+	3
29	35	+	3
30	36	+	3
31	37	-	9
32	37	-	7
33	38	-	3
34	39	-	3
35	40	+	3
36	41	+	3
37	42	-	3
38	43	+	3
39	45	+	3
40	14	-	5
41	46	+	3
42	47	-	3
43	48	+	4
44	48	+	5
45	101	-	3
46	49	+	3
47	50	+	3
48	51	-	3
49	52	-	3
50	53	+	3
51	55	+	3
52	56	-	5
53	57	+	4
54	58	+	3
55	59	+	3
56	60	-	3
57	61	+	3
58	62	-	3
59	63	-	3
60	64	-	3
61	65	-	3
62	66	-	4
63	67	-	3
64	68	-	3
65	69	+	3
66	70	-	3
67	14	-	3
68	15	+	3
69	16	-	3
70	17	-	3
71	18	+	3
72	71	+	3
73	72	+	3
74	73	+	3
75	74	-	3
76	75	-	3
77	76	-	3
78	77	-	3
79	78	-	3
80	80	+	3
81	82	+	3
82	83	+	3
83	84	+	3
84	85	-	3
85	86	+	3
86	87	+	3
87	88	+	3
88	89	+	5
89	89	+	7
90	90	-	3
91	91	-	3
92	92	+	3
93	93	+	3
94	94	-	3
95	95	+	3
96	96	+	3
97	97	+	3
98	98	-	3
99	99	-	3
100	100	+	3
