POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	4	-	39
1	6	-	31
2	7	-	47
3	103	-	31
4	8	-	31
5	9	-	37
6	10	+	31
7	39	-	45
8	2	-	45
9	11	-	43
10	13	+	51
11	19	-	55
12	102	-	31
13	43	+	37
14	45	+	27
15	19	-	57
16	20	+	29
17	21	+	41
18	22	+	35
19	10	+	33
20	30	+	55
21	24	-	33
22	25	-	31
23	26	+	41
24	28	-	41
25	28	-	43
26	29	+	35
27	30	+	57
28	37	-	63
29	30	+	59
30	31	-	29
31	32	-	31
32	33	-	31
33	34	+	39
34	35	+	43
35	36	+	53
36	36	+	55
37	37	-	65
38	37	-	67
39	38	-	35
40	71	+	37
41	105	-	17
42	39	-	47
43	40	+	35
44	41	+	33
45	42	-	29
46	14	-	69
47	46	+	37
48	47	-	29
49	48	+	55
50	48	+	57
51	101	-	29
52	49	+	33
53	89	+	65
54	50	+	39
55	51	-	29
56	52	-	31
57	53	+	33
58	55	+	29
59	56	-	57
60	57	+	43
61	56	-	59
62	58	+	31
63	59	+	39
64	60	-	34
65	61	+	31
66	61	+	33
67	62	-	33
68	63	-	29
69	64	-	29
70	65	-	29
71	66	-	31
72	67	-	33
73	16	-	37
74	69	+	55
75	70	-	35
76	14	-	71
77	14	-	73
78	15	+	37
79	16	-	39
80	17	-	37
81	17	-	39
82	109	+	25
83	109	+	27
84	18	+	43
85	72	+	39
86	73	+	29
87	74	-	33
88	75	-	33
89	77	-	39
90	78	-	31
91	80	+	31
92	42	-	31
93	82	+	33
94	83	+	37
95	84	+	37
96	100	+	51
97	85	-	37
98	86	+	31
99	100	+	53
100	87	+	37
101	88	+	35
102	89	+	67
103	90	-	39
104	91	-	27
105	92	+	27
106	93	+	35
107	107	+	17
108	94	-	29
109	95	+	31
110	96	+	37
111	97	+	47
112	97	+	49
113	98	-	29
114	99	-	43
115	110	-	15
116	100	+	55
