POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	3	+	36
1	4	-	48
2	6	-	40
3	7	-	60
4	103	-	40
5	8	-	40
6	9	-	50
7	10	+	44
8	39	-	60
9	2	-	56
10	13	+	64
11	19	-	72
12	102	-	38
13	19	-	74
14	20	+	36
15	21	+	52
16	22	+	48
17	24	-	42
18	25	-	40
19	26	+	52
20	28	-	56
21	29	+	44
22	30	+	80
23	30	+	82
24	30	+	84
25	30	+	86
26	31	-	38
27	32	-	40
28	33	-	40
29	34	+	52
30	134	+	2
31	35	+	56
32	36	+	74
33	36	+	76
34	99	-	68
35	37	-	86
36	37	-	88
37	125	+	4
38	38	-	48
39	39	-	62
40	40	+	44
41	41	+	46
42	42	-	40
43	43	+	48
44	45	+	36
45	14	-	98
46	46	+	48
47	85	-	46
48	36	+	78
49	47	-	38
50	48	+	72
51	48	+	74
52	48	+	76
53	101	-	36
54	49	+	44
55	89	+	84
56	50	+	48
57	51	-	40
58	52	-	40
59	71	+	46
60	55	+	36
61	56	-	72
62	57	+	50
63	56	-	74
64	58	+	44
65	59	+	52
66	58	+	46
67	60	-	42
68	61	+	44
69	62	-	44
70	63	-	38
71	64	-	38
72	65	-	40
73	66	-	40
74	67	-	44
75	50	+	51
76	68	-	30
77	69	+	72
78	69	+	74
79	70	-	44
80	14	-	100
81	15	+	48
82	16	-	50
83	17	-	52
84	109	+	38
85	109	+	40
86	18	+	54
87	71	+	48
88	105	-	22
89	72	+	52
90	73	+	36
91	74	-	40
92	75	-	42
93	77	-	52
94	78	-	40
95	80	+	40
96	82	+	42
97	83	+	48
98	13	+	66
99	84	+	48
100	85	-	48
101	86	+	40
102	100	+	70
103	87	+	50
104	87	+	52
105	88	+	46
106	88	+	48
107	89	+	86
108	90	-	52
109	91	-	34
110	92	+	36
111	93	+	44
112	107	+	26
113	94	-	38
114	95	+	40
115	96	+	48
116	97	+	58
117	11	-	58
118	98	-	38
119	99	-	70
120	110	-	20
121	100	+	72
