POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	3	+	6
1	4	-	4
2	5	-	4
3	6	-	4
4	7	-	4
5	103	-	2
6	8	-	4
7	9	-	4
8	10	+	4
9	2	-	4
10	11	-	6
11	13	+	4
12	19	-	8
13	102	-	6
14	19	-	10
15	20	+	4
16	21	+	4
17	22	+	4
18	24	-	4
19	25	-	4
20	26	+	6
21	27	-	4
22	28	-	4
23	29	+	4
24	30	+	4
25	31	-	4
26	32	-	4
27	33	-	4
28	34	+	6
29	35	+	4
30	36	+	4
31	37	-	10
32	37	-	12
33	38	-	4
34	39	-	4
35	40	+	4
36	41	+	4
37	42	-	4
38	43	+	4
39	45	+	4
40	14	-	6
41	46	+	4
42	47	-	4
43	48	+	6
44	48	+	8
45	101	-	4
46	49	+	4
47	50	+	4
48	51	-	4
49	52	-	4
50	53	+	7
51	55	+	4
52	56	-	6
53	57	+	6
54	58	+	4
55	59	+	4
56	60	-	4
57	61	+	4
58	62	-	4
59	63	-	4
60	64	-	4
61	65	-	4
62	66	-	6
63	67	-	4
64	68	-	4
65	69	+	4
66	70	-	4
67	14	-	8
68	15	+	6
69	16	-	4
70	17	-	4
71	18	+	4
72	71	+	4
73	72	+	4
74	73	+	4
75	74	-	4
76	75	-	4
77	76	-	4
78	77	-	4
79	78	-	4
80	80	+	4
81	82	+	4
82	83	+	4
83	84	+	4
84	85	-	4
85	86	+	4
86	87	+	4
87	88	+	4
88	89	+	8
89	89	+	10
90	90	-	4
91	91	-	4
92	92	+	4
93	93	+	4
94	94	-	4
95	95	+	4
96	96	+	4
97	97	+	4
98	98	-	4
99	99	-	4
100	100	+	4
