POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	4	-	46
1	6	-	36
2	7	-	54
3	103	-	36
4	8	-	36
5	9	-	42
6	10	+	38
7	39	-	54
8	2	-	52
9	11	-	50
10	13	+	60
11	19	-	64
12	102	-	34
13	43	+	44
14	45	+	32
15	19	-	66
16	20	+	32
17	21	+	46
18	22	+	44
19	10	+	40
20	30	+	70
21	24	-	38
22	25	-	36
23	26	+	46
24	28	-	50
25	28	-	52
26	86	+	43
27	29	+	40
28	30	+	72
29	37	-	76
30	30	+	74
31	31	-	34
32	32	-	36
33	33	-	36
34	34	+	46
35	35	+	48
36	36	+	64
37	36	+	80
38	36	+	81
39	37	-	78
40	37	-	80
41	38	-	51
42	71	+	42
43	105	-	20
44	39	-	56
45	40	+	40
46	41	+	38
47	42	-	34
48	14	-	82
49	46	+	42
50	47	-	34
51	48	+	66
52	48	+	68
53	101	-	34
54	49	+	38
55	89	+	74
56	50	+	44
57	51	-	34
58	52	-	38
59	53	+	36
60	55	+	34
61	56	-	66
62	57	+	46
63	56	-	76
64	56	-	77
65	58	+	38
66	59	+	44
67	60	-	36
68	61	+	38
69	61	+	40
70	62	-	38
71	63	-	34
72	64	-	34
73	65	-	34
74	66	-	36
75	67	-	38
76	16	-	44
77	70	-	40
78	14	-	84
79	14	-	86
80	15	+	44
81	16	-	46
82	17	-	46
83	17	-	48
84	109	+	32
85	109	+	34
86	18	+	48
87	72	+	46
88	73	+	34
89	74	-	38
90	75	-	38
91	77	-	44
92	78	-	36
93	80	+	36
94	42	-	36
95	82	+	38
96	83	+	44
97	84	+	42
98	100	+	62
99	36	+	71
100	85	-	44
101	86	+	36
102	100	+	64
103	87	+	44
104	88	+	50
105	89	+	76
106	90	-	48
107	91	-	30
108	92	+	30
109	93	+	40
110	107	+	20
111	94	-	34
112	95	+	36
113	96	+	42
114	97	+	54
115	97	+	56
116	98	-	34
117	99	-	52
118	110	-	18
119	100	+	66
