POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	3	+	20
1	4	-	12
2	6	-	10
3	7	-	14
4	103	-	14
5	8	-	10
6	9	-	12
7	10	+	10
8	39	-	16
9	2	-	14
10	13	+	48
11	19	-	20
12	102	-	12
13	19	-	22
14	20	+	12
15	21	+	16
16	22	+	10
17	24	-	12
18	25	-	10
19	26	+	16
20	28	-	10
21	29	+	10
22	30	+	44
23	30	+	29
24	30	+	27
25	30	+	16
26	31	-	10
27	32	-	10
28	33	-	10
29	34	+	14
30	35	+	18
31	36	+	14
32	36	+	16
33	99	-	17
34	37	-	24
35	37	-	26
36	125	+	1
37	38	-	24
38	39	-	18
39	40	+	12
40	41	+	10
41	42	-	10
42	43	+	14
43	45	+	10
44	14	-	22
45	46	+	12
46	85	-	25
47	47	-	10
48	48	+	20
49	48	+	22
50	48	+	24
51	101	-	10
52	49	+	20
53	89	+	26
54	50	+	10
55	51	-	10
56	52	-	10
57	71	+	27
58	55	+	10
59	56	-	16
60	57	+	23
61	56	-	18
62	58	+	10
63	59	+	10
64	60	-	17
65	61	+	10
66	62	-	12
67	63	-	10
68	64	-	10
69	65	-	10
70	66	-	12
71	67	-	10
72	68	-	10
73	69	+	37
74	69	+	26
75	70	-	12
76	14	-	24
77	15	+	14
78	16	-	12
79	17	-	12
80	109	+	16
81	109	+	20
82	18	+	18
83	71	+	14
84	105	-	14
85	72	+	16
86	73	+	10
87	74	-	12
88	75	-	10
89	77	-	16
90	78	-	10
91	80	+	10
92	82	+	10
93	83	+	12
94	13	+	37
95	84	+	10
96	85	-	17
97	86	+	18
98	100	+	14
99	87	+	10
100	88	+	26
101	88	+	10
102	89	+	40
103	90	-	19
104	91	-	12
105	92	+	10
106	93	+	10
107	107	+	10
108	94	-	10
109	95	+	10
110	96	+	14
111	97	+	38
112	11	-	23
113	98	-	10
114	99	-	10
115	110	-	4
116	100	+	16
