POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	75	-	27
1	75	-	29
2	76	-	11
3	50	+	31
4	77	-	35
5	78	-	25
6	80	+	27
7	3	+	27
8	49	+	29
9	4	-	33
10	5	-	13
11	74	-	27
12	6	-	28
13	7	-	41
14	103	-	27
15	8	-	25
16	9	-	35
17	10	+	29
18	102	-	29
19	19	-	49
20	20	+	25
21	21	+	35
22	22	+	29
23	24	-	29
24	25	-	27
25	40	+	27
26	26	+	33
27	26	+	35
28	27	-	11
29	28	-	35
30	29	+	27
31	30	+	49
32	31	-	25
33	32	-	27
34	33	-	27
35	89	+	57
36	34	+	33
37	35	+	39
38	36	+	47
39	37	-	55
40	37	-	57
41	38	-	29
42	39	-	41
43	40	+	29
44	41	+	27
45	114	+	3
46	43	+	31
47	110	-	25
48	14	-	104
49	14	-	105
50	46	+	31
51	46	+	33
52	51	-	25
53	52	-	28
54	116	+	3
55	47	-	25
56	48	+	49
57	48	+	51
58	101	-	25
59	50	+	33
60	53	+	29
61	55	+	25
62	56	-	53
63	126	-	3
64	50	+	35
65	57	+	35
66	57	+	37
67	57	+	39
68	58	+	27
69	59	+	35
70	60	-	27
71	61	+	25
72	62	-	29
73	63	-	25
74	65	-	25
75	66	-	27
76	89	+	59
77	89	+	61
78	90	-	33
79	41	+	29
80	91	-	25
81	72	+	35
82	11	-	37
83	92	+	25
84	67	-	29
85	69	+	45
86	70	-	29
87	70	-	31
88	14	-	63
89	15	+	31
90	16	-	31
91	16	-	33
92	71	+	31
93	72	+	33
94	21	+	37
95	73	+	25
96	74	-	29
97	69	+	47
98	82	+	27
99	83	+	31
100	84	+	33
101	85	-	31
102	68	-	23
103	86	+	25
104	2	-	43
105	11	-	35
106	105	-	15
107	13	+	33
108	13	+	71
109	120	+	3
110	19	-	51
111	87	+	31
112	88	+	29
113	93	+	31
114	86	+	27
115	94	-	25
116	95	+	25
117	96	+	33
118	97	+	43
119	98	-	25
120	99	-	35
121	99	-	37
122	100	+	45
