POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	3	+	10
1	4	-	10
2	6	-	8
3	7	-	12
4	103	-	8
5	8	-	8
6	18	+	12
7	9	-	10
8	10	+	8
9	39	-	12
10	2	-	12
11	11	-	14
12	13	+	12
13	19	-	16
14	102	-	10
15	19	-	18
16	20	+	10
17	21	+	14
18	22	+	8
19	24	-	10
20	25	-	8
21	26	+	14
22	28	-	8
23	29	+	8
24	30	+	10
25	30	+	12
26	31	-	8
27	32	-	8
28	33	-	8
29	34	+	12
30	35	+	8
31	36	+	10
32	36	+	12
33	37	-	20
34	37	-	22
35	38	-	8
36	39	-	14
37	40	+	10
38	41	+	8
39	42	-	8
40	43	+	12
41	45	+	8
42	14	-	18
43	46	+	10
44	47	-	8
45	48	+	14
46	48	+	18
47	48	+	19
48	101	-	8
49	49	+	8
50	89	+	20
51	50	+	8
52	51	-	8
53	52	-	8
54	53	+	12
55	55	+	8
56	56	-	12
57	57	+	12
58	56	-	14
59	58	+	8
60	59	+	8
61	60	-	8
62	61	+	8
63	62	-	10
64	63	-	8
65	64	-	8
66	65	-	8
67	66	-	10
68	67	-	8
69	68	-	8
70	69	+	12
71	70	-	10
72	14	-	20
73	15	+	12
74	16	-	10
75	17	-	10
76	109	+	2
77	18	+	14
78	71	+	12
79	105	-	2
80	72	+	14
81	73	+	8
82	74	-	10
83	75	-	8
84	77	-	14
85	78	-	8
86	80	+	8
87	82	+	8
88	83	+	10
89	84	+	8
90	85	-	8
91	86	+	8
92	100	+	10
93	87	+	8
94	88	+	8
95	89	+	25
96	90	-	10
97	91	-	10
98	92	+	8
99	93	+	8
100	107	+	2
101	94	-	8
102	95	+	8
103	96	+	12
104	97	+	10
105	97	+	12
106	98	-	8
107	99	-	8
108	110	-	2
109	100	+	12
