POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	3	+	11
1	4	-	11
2	6	-	9
3	7	-	13
4	103	-	9
5	8	-	9
6	18	+	13
7	9	-	11
8	10	+	9
9	39	-	13
10	2	-	17
11	11	-	15
12	13	+	13
13	19	-	17
14	102	-	11
15	19	-	19
16	20	+	11
17	21	+	15
18	22	+	9
19	24	-	11
20	25	-	9
21	26	+	15
22	28	-	9
23	29	+	9
24	30	+	11
25	30	+	13
26	31	-	9
27	32	-	9
28	33	-	9
29	34	+	13
30	35	+	9
31	36	+	11
32	36	+	13
33	37	-	21
34	37	-	23
35	38	-	9
36	39	-	15
37	40	+	11
38	41	+	9
39	42	-	9
40	43	+	13
41	45	+	9
42	14	-	19
43	46	+	11
44	47	-	9
45	48	+	15
46	48	+	17
47	101	-	9
48	49	+	9
49	89	+	21
50	50	+	9
51	51	-	9
52	52	-	9
53	53	+	13
54	55	+	9
55	56	-	13
56	57	+	13
57	56	-	15
58	58	+	9
59	59	+	9
60	60	-	9
61	61	+	9
62	62	-	11
63	63	-	9
64	64	-	9
65	65	-	9
66	66	-	11
67	67	-	9
68	68	-	9
69	69	+	13
70	70	-	11
71	14	-	21
72	15	+	13
73	16	-	11
74	17	-	11
75	109	+	3
76	18	+	15
77	71	+	13
78	105	-	3
79	72	+	15
80	73	+	9
81	74	-	11
82	75	-	9
83	77	-	15
84	78	-	9
85	80	+	9
86	82	+	9
87	83	+	11
88	84	+	9
89	85	-	9
90	86	+	9
91	100	+	11
92	87	+	9
93	88	+	9
94	89	+	23
95	90	-	11
96	91	-	11
97	92	+	9
98	93	+	9
99	107	+	3
100	94	-	9
101	95	+	9
102	96	+	13
103	97	+	11
104	97	+	13
105	98	-	9
106	99	-	9
107	110	-	3
108	100	+	13
