POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	75	-	24
1	75	-	25
2	76	-	5
3	50	+	17
4	77	-	13
5	78	-	5
6	80	+	19
7	3	+	7
8	4	-	5
9	5	-	5
10	74	-	9
11	6	-	5
12	7	-	5
13	103	-	6
14	8	-	5
15	9	-	8
16	10	+	5
17	102	-	7
18	19	-	11
19	20	+	8
20	21	+	5
21	22	+	5
22	24	-	8
23	25	-	5
24	40	+	9
25	26	+	12
26	26	+	13
27	27	-	5
28	28	-	5
29	29	+	16
30	30	+	5
31	31	-	5
32	32	-	5
33	33	-	5
34	89	+	17
35	34	+	7
36	35	+	5
37	36	+	40
38	37	-	11
39	37	-	13
40	38	-	5
41	39	-	8
42	40	+	5
43	41	+	5
44	114	+	1
45	43	+	5
46	14	-	7
47	46	+	28
48	46	+	29
49	47	-	5
50	48	+	7
51	48	+	9
52	101	-	5
53	49	+	5
54	50	+	5
55	51	-	5
56	52	-	5
57	116	+	1
58	53	+	6
59	55	+	5
60	56	-	10
61	126	-	1
62	50	+	25
63	57	+	10
64	57	+	20
65	57	+	21
66	58	+	5
67	59	+	27
68	60	-	5
69	61	+	5
70	62	-	8
71	63	-	5
72	64	-	5
73	65	-	5
74	66	-	7
75	67	-	5
76	69	+	10
77	70	-	8
78	70	-	9
79	14	-	9
80	15	+	5
81	16	-	8
82	16	-	9
83	71	+	26
84	72	+	8
85	21	+	12
86	73	+	20
87	74	-	5
88	69	+	36
89	82	+	18
90	83	+	5
91	84	+	5
92	85	-	16
93	68	-	5
94	86	+	5
95	2	-	29
96	11	-	7
97	13	+	11
98	13	+	9
99	120	+	1
100	19	-	9
101	87	+	5
102	88	+	5
103	89	+	18
104	89	+	11
105	90	-	5
106	41	+	23
107	91	-	5
108	72	+	12
109	11	-	9
110	92	+	5
111	93	+	18
112	86	+	19
113	94	-	5
114	95	+	5
115	96	+	5
116	97	+	5
117	98	-	5
118	99	-	32
119	99	-	33
120	100	+	5
