POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	4	-	19
1	6	-	17
2	7	-	39
3	17	-	35
4	103	-	19
5	8	-	17
6	9	-	21
7	10	+	17
8	39	-	29
9	2	-	42
10	16	-	23
11	11	-	25
12	13	+	49
13	19	-	33
14	102	-	20
15	19	-	35
16	20	+	19
17	21	+	23
18	22	+	19
19	102	-	21
20	43	+	21
21	45	+	17
22	24	-	19
23	25	-	19
24	26	+	23
25	28	-	19
26	28	-	21
27	29	+	32
28	30	+	31
29	30	+	33
30	17	-	19
31	109	+	18
32	18	+	29
33	72	+	23
34	73	+	17
35	74	-	19
36	47	-	41
37	75	-	17
38	78	-	17
39	80	+	18
40	42	-	22
41	82	+	17
42	31	-	17
43	32	-	19
44	33	-	19
45	34	+	21
46	35	+	26
47	35	+	27
48	36	+	29
49	36	+	31
50	71	+	21
51	105	-	11
52	39	-	31
53	40	+	19
54	41	+	45
55	112	+	3
56	42	-	19
57	14	-	50
58	46	+	19
59	47	-	17
60	101	-	17
61	49	+	17
62	89	+	43
63	50	+	19
64	57	+	25
65	56	-	38
66	37	-	37
67	37	-	39
68	38	-	17
69	51	-	17
70	2	-	41
71	52	-	17
72	7	-	33
73	53	+	21
74	55	+	17
75	56	-	31
76	56	-	47
77	58	+	17
78	59	+	28
79	60	-	44
80	61	+	17
81	62	-	19
82	64	-	17
83	65	-	17
84	66	-	19
85	67	-	19
86	68	-	24
87	69	+	25
88	70	-	19
89	14	-	37
90	15	+	21
91	84	+	44
92	84	+	45
93	100	+	29
94	85	-	24
95	86	+	17
96	16	-	19
97	85	-	27
98	83	+	19
99	100	+	31
100	49	+	41
101	87	+	17
102	88	+	19
103	89	+	45
104	90	-	21
105	91	-	19
106	92	+	19
107	93	+	25
108	6	-	21
109	107	+	13
110	94	-	17
111	95	+	17
112	96	+	21
113	97	+	29
114	97	+	31
115	98	-	17
116	99	-	21
117	110	-	11
118	100	+	33
