POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	7	-	8
1	7	-	9
2	103	-	4
3	8	-	6
4	62	-	9
5	9	-	18
6	9	-	19
7	10	+	6
8	2	-	8
9	11	-	10
10	13	+	6
11	19	-	12
12	102	-	8
13	19	-	14
14	20	+	6
15	21	+	13
16	22	+	6
17	24	-	6
18	25	-	6
19	26	+	8
20	28	-	6
21	29	+	6
22	30	+	6
23	33	-	6
24	34	+	10
25	34	+	11
26	35	+	6
27	36	+	6
28	37	-	19
29	37	-	16
30	38	-	6
31	39	-	11
32	21	+	11
33	40	+	6
34	41	+	6
35	42	-	6
36	43	+	9
37	45	+	6
38	14	-	16
39	46	+	8
40	46	+	9
41	47	-	6
42	48	+	10
43	94	-	6
44	95	+	6
45	96	+	10
46	96	+	11
47	97	+	6
48	98	-	6
49	99	-	22
50	99	-	19
51	14	-	12
52	15	+	8
53	16	-	6
54	17	-	6
55	3	+	8
56	5	-	6
57	48	+	12
58	49	+	6
59	50	+	6
60	51	-	6
61	52	-	6
62	53	+	10
63	67	-	17
64	55	+	6
65	56	-	8
66	26	+	11
67	57	+	8
68	31	-	6
69	32	-	6
70	58	+	6
71	59	+	16
72	60	-	6
73	61	+	6
74	62	-	6
75	63	-	6
76	117	+	1
77	64	-	6
78	65	-	6
79	66	-	8
80	67	-	6
81	68	-	6
82	69	+	6
83	108	+	1
84	70	-	6
85	18	+	10
86	18	+	11
87	71	+	6
88	72	+	9
89	82	+	6
90	35	+	19
91	14	-	15
92	83	+	6
93	84	+	6
94	69	+	11
95	35	+	13
96	85	-	6
97	74	-	6
98	75	-	6
99	76	-	6
100	77	-	10
101	77	-	23
102	78	-	6
103	80	+	6
104	87	+	18
105	88	+	6
106	89	+	12
107	89	+	16
108	118	-	1
109	90	-	6
110	91	-	9
111	92	+	17
112	93	+	6
