POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	3	+	32
1	4	-	44
2	6	-	38
3	7	-	52
4	103	-	34
5	8	-	34
6	9	-	48
7	10	+	36
8	39	-	50
9	2	-	50
10	13	+	56
11	19	-	60
12	102	-	32
13	19	-	62
14	20	+	30
15	21	+	44
16	22	+	42
17	24	-	36
18	25	-	34
19	26	+	44
20	28	-	48
21	29	+	38
22	30	+	62
23	30	+	64
24	30	+	66
25	30	+	68
26	31	-	32
27	32	-	34
28	33	-	34
29	34	+	44
30	35	+	46
31	36	+	60
32	36	+	62
33	99	-	48
34	37	-	72
35	37	-	74
36	125	+	2
37	38	-	50
38	39	-	52
39	40	+	38
40	41	+	36
41	42	-	32
42	107	+	23
43	43	+	42
44	45	+	30
45	14	-	78
46	46	+	40
47	85	-	40
48	47	-	32
49	48	+	60
50	48	+	62
51	48	+	64
52	101	-	32
53	49	+	36
54	89	+	70
55	50	+	42
56	51	-	32
57	52	-	36
58	71	+	38
59	55	+	32
60	56	-	62
61	57	+	44
62	56	-	64
63	58	+	36
64	59	+	42
65	60	-	30
66	61	+	36
67	62	-	36
68	63	-	32
69	64	-	32
70	65	-	32
71	66	-	34
72	67	-	36
73	68	-	26
74	69	+	62
75	69	+	64
76	70	-	38
77	14	-	80
78	15	+	42
79	16	-	42
80	17	-	44
81	109	+	28
82	109	+	30
83	18	+	46
84	71	+	40
85	105	-	18
86	72	+	44
87	73	+	32
88	74	-	36
89	75	-	36
90	77	-	42
91	78	-	34
92	80	+	34
93	82	+	36
94	83	+	42
95	13	+	58
96	84	+	40
97	85	-	42
98	86	+	34
99	100	+	58
100	87	+	42
101	88	+	38
102	88	+	40
103	89	+	72
104	90	-	44
105	91	-	28
106	92	+	28
107	93	+	38
108	107	+	18
109	94	-	32
110	95	+	34
111	96	+	40
112	97	+	52
113	11	-	48
114	98	-	32
115	99	-	50
116	110	-	16
117	100	+	60
