POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	4	-	18
1	6	-	16
2	7	-	32
3	103	-	18
4	8	-	16
5	9	-	20
6	10	+	16
7	39	-	28
8	2	-	22
9	11	-	24
10	13	+	20
11	19	-	45
12	102	-	18
13	43	+	20
14	45	+	16
15	19	-	34
16	20	+	27
17	21	+	22
18	22	+	18
19	10	+	23
20	30	+	47
21	24	-	18
22	25	-	18
23	26	+	22
24	28	-	18
25	28	-	20
26	29	+	31
27	30	+	41
28	37	-	49
29	30	+	53
30	31	-	16
31	32	-	18
32	33	-	18
33	34	+	20
34	35	+	24
35	36	+	28
36	36	+	30
37	37	-	36
38	37	-	38
39	38	-	16
40	71	+	20
41	105	-	10
42	39	-	30
43	40	+	18
44	41	+	16
45	42	-	18
46	14	-	34
47	46	+	18
48	47	-	16
49	48	+	34
50	48	+	36
51	101	-	21
52	49	+	16
53	89	+	42
54	50	+	18
55	51	-	16
56	52	-	16
57	53	+	20
58	55	+	16
59	56	-	30
60	57	+	24
61	56	-	32
62	58	+	16
63	59	+	18
64	60	-	18
65	61	+	28
66	61	+	29
67	62	-	18
68	63	-	16
69	64	-	16
70	65	-	16
71	66	-	18
72	67	-	18
73	16	-	27
74	69	+	24
75	70	-	18
76	14	-	58
77	14	-	59
78	15	+	20
79	16	-	22
80	17	-	28
81	17	-	29
82	109	+	22
83	109	+	23
84	18	+	28
85	72	+	27
86	73	+	16
87	74	-	18
88	75	-	16
89	77	-	24
90	78	-	16
91	80	+	16
92	42	-	20
93	82	+	19
94	83	+	18
95	84	+	18
96	100	+	28
97	85	-	32
98	86	+	16
99	100	+	30
100	87	+	24
101	88	+	18
102	89	+	44
103	90	-	20
104	91	-	18
105	92	+	18
106	93	+	16
107	107	+	12
108	94	-	16
109	95	+	16
110	96	+	20
111	97	+	28
112	97	+	30
113	98	-	16
114	99	-	20
115	110	-	10
116	100	+	32
