POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	4	-	47
1	6	-	39
2	7	-	55
3	103	-	37
4	8	-	37
5	9	-	43
6	10	+	39
7	39	-	55
8	2	-	53
9	11	-	51
10	13	+	61
11	19	-	65
12	102	-	35
13	43	+	45
14	45	+	33
15	19	-	67
16	20	+	33
17	21	+	47
18	22	+	45
19	10	+	41
20	30	+	71
21	24	-	39
22	25	-	37
23	26	+	47
24	28	-	51
25	28	-	53
26	29	+	41
27	30	+	73
28	37	-	77
29	30	+	75
30	31	-	35
31	32	-	37
32	33	-	37
33	34	+	47
34	35	+	49
35	36	+	65
36	36	+	67
37	37	-	79
38	37	-	81
39	99	-	67
40	38	-	41
41	71	+	43
42	105	-	21
43	39	-	57
44	40	+	41
45	41	+	39
46	42	-	35
47	14	-	83
48	46	+	43
49	47	-	35
50	48	+	67
51	48	+	69
52	99	-	59
53	101	-	35
54	49	+	39
55	89	+	75
56	50	+	45
57	51	-	35
58	52	-	39
59	53	+	37
60	55	+	35
61	56	-	67
62	57	+	47
63	56	-	69
64	58	+	39
65	59	+	50
66	60	-	37
67	61	+	39
68	61	+	41
69	62	-	39
70	63	-	35
71	64	-	35
72	65	-	35
73	66	-	37
74	67	-	39
75	16	-	45
76	69	+	67
77	70	-	41
78	14	-	85
79	14	-	87
80	15	+	45
81	16	-	47
82	17	-	47
83	17	-	49
84	109	+	33
85	109	+	35
86	18	+	49
87	72	+	47
88	73	+	35
89	74	-	39
90	75	-	39
91	77	-	45
92	78	-	37
93	80	+	37
94	42	-	37
95	82	+	39
96	83	+	45
97	84	+	43
98	100	+	63
99	85	-	45
100	86	+	37
101	100	+	65
102	87	+	45
103	88	+	43
104	89	+	77
105	90	-	49
106	91	-	31
107	92	+	31
108	93	+	41
109	107	+	21
110	94	-	35
111	95	+	37
112	96	+	43
113	97	+	55
114	97	+	57
115	98	-	35
116	99	-	57
117	110	-	19
118	100	+	67
