species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_species0_species3_0, 1.08, 0, 0.09, 0.18, 0.89, 0, 1.08, 1.07
Node_species10_species19_0, 0.41, 0, 0.09, 0.21, 0.4, 0.09, 0.41, 0.29
Node_species12_species0_0, 0.48, 0, 0.1, 0.32, 0.41, 0.05, 0.48, 0.46
Node_species12_species16_0, 1, 0, 0.01, 0.02, 1, 0, 1, 0.99
Node_species12_species20_0, 0.03, 0, 0, 0.01, 0.03, 0.03, 0.03, 0.03
Node_species12_species4_0, 0.67, 0, 0.15, 0.32, 0.52, 0.01, 0.67, 0.62
Node_species12_species7_0, 0.44, 0, 0.14, 0.31, 0.42, 0.03, 0.44, 0.39
Node_species16_species28_0, 0.31, 0, 0, 0.05, 0.31, 0.01, 0.31, 0.11
Node_species19_species15_0, 0.65, 0, 0.04, 0.14, 0.65, 0.02, 0.65, 0.37
Node_species20_species21_0, 0.76, 0, 0.2, 0.3, 0.7, 0.04, 0.76, 0.56
Node_species21_species9_0, 1.02, 0, 0.14, 0.41, 0.86, 0.04, 1.02, 0.67
Node_species22_species14_0, 0.59, 0, 0.1, 0.35, 0.54, 0.04, 0.59, 0.49
Node_species22_species24_0, 0.99, 0, 0.02, 0.98, 0.99, 0, 0.99, 0.99
Node_species25_species10_0, 0.37, 0, 0.9, 0.35, 0.36, 0.15, 0.37, 0.29
Node_species26_species18_0, 0.57, 0, 0.33, 0.46, 0.54, 0.02, 0.57, 0.51
Node_species27_species23_0, 0.58, 0, 0.26, 0.2, 0.49, 0.07, 0.58, 0.49
Node_species28_species2_0, 0.22, 0, 0.09, 0.08, 0.22, 0, 0.22, 0.22
Node_species3_species1_0, 0.62, 0, 0.33, 0.52, 0.51, 0.01, 0.62, 0.59
Node_species4_species22_0, 0.39, 0, 0.22, 0.4, 0.33, 0.08, 0.39, 0.38
Node_species4_species25_0, 0.83, 0, 0.17, 0.52, 0.7, 0.01, 0.83, 0.76
Node_species4_species6_0, 0.56, 0, 0.16, 0.14, 0.5, 0.04, 0.56, 0.48
Node_species5_species11_0, 0.96, 0, 0.1, 0.34, 0.91, 0.01, 0.96, 0.96
Node_species6_species13_0, 0.67, 0, 0.1, 0.28, 0.67, 0.01, 0.67, 0.67
Node_species6_species27_0, 0.29, 0, 0, 0.06, 0.29, 0, 0.29, 0.28
Node_species7_species5_0, 1, 0, 0.01, 0.41, 1, 0, 1, 0.79
Node_species8_species12_0, 0.19, 0, 0.01, 0.11, 0.19, 0, 0.19, 0.13
Node_species8_species17_0, 0.74, 0, 0.27, 0.39, 0.63, 0.01, 0.74, 0.69
Node_species8_species26_0, 0.5, 0, 0.12, 0.19, 0.42, 0.04, 0.5, 0.5
species0, 1, 0, 0.17, 0.26, 1, 0.01, 1, 1
species1, 1, 0, 0.35, 0.67, 1, 0.02, 1, 1
species10, 1, 0, 0.01, 0.96, 1, 0, 1, 1
species11, 1, 0, 0.01, 0.16, 1, 0, 1, 1
species12, 1, 0, 0.05, 0.33, 1, 0, 1, 1
species13, 1, 0, 0.66, 0.29, 1, 0, 1, 1
species14, 1, 0, 0.04, 0.42, 1, 0.01, 1, 1
species15, 1, 0, 0.15, 0.17, 1, 0, 1, 1
species16, 1, 0, 0.3, 0.47, 1, 0, 1, 1
species17, 1, 0, 0.08, 0.59, 1, 0.03, 1, 1
species18, 1, 0, 0.15, 0.62, 1, 0, 1, 1
species19, 1, 0, 0.34, 0.44, 1, 0.01, 1, 1
species2, 1, 0, 0.24, 0.09, 1, 0, 1, 1
species20, 1, 0, 0.07, 0.31, 1, 0, 1, 1
species21, 1, 0, 0.26, 0.15, 1, 0.01, 1, 1
species22, 1, 0, 0.19, 0.72, 1, 0, 1, 1
species23, 1, 0, 0.23, 0.6, 1, 0.03, 1, 1
species24, 1, 0, 0.27, 0.51, 1, 0, 1, 1
species25, 1, 0, 0.07, 0.38, 1, 0.01, 1, 1
species26, 1, 0, 0.1, 0.58, 1, 0.02, 1, 1
species27, 1, 0, 0.84, 0.47, 1, 0, 1, 1
species28, 1, 0, 0.3, 0.5, 1, 0, 1, 1
species3, 1, 0, 0.16, 0.28, 1, 0.01, 1, 1
species4, 1, 0, 0.01, 0.26, 1, 0.02, 1, 1
species5, 1, 0, 0.2, 0.87, 1, 0.01, 1, 1
species6, 1, 0, 0.02, 0.02, 1, 0, 1, 1
species7, 1, 0, 0.01, 0.02, 1, 0, 1, 1
species8, 1, 0, 0.25, 0.82, 1, 0, 1, 1
species9, 1, 0, 0.11, 0.86, 1, 0, 1, 1
