species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_species0_species3_0, 1, 0, 0.01, 0.05, 1, 0, 1, 0.98
Node_species10_species19_0, 0.99, 0, 0.05, 0.1, 0.99, 0.04, 0.99, 0.52
Node_species12_species0_0, 0.96, 0, 0.03, 0.15, 0.96, 0.01, 0.96, 0.38
Node_species12_species16_0, 0.76, 0, 0.14, 0.16, 0.76, 0.03, 0.76, 0.71
Node_species12_species20_0, 0.02, 0, 0, 0.01, 0.02, 0.02, 0.02, 0.02
Node_species12_species4_0, 0.74, 0, 0.26, 0.11, 0.72, 0, 0.74, 0.68
Node_species12_species7_0, 0.32, 0, 0.18, 0.09, 0.31, 0, 0.32, 0.31
Node_species16_species28_0, 0.13, 0, 0.01, 0.04, 0.12, 0.01, 0.13, 0.13
Node_species19_species15_0, 0.44, 0, 0.08, 0.13, 0.39, 0.02, 0.44, 0.44
Node_species20_species21_0, 0.99, 0, 0.09, 1.35, 0.98, 0.04, 0.99, 0.96
Node_species21_species9_0, 0.98, 0, 0.04, 0.12, 0.98, 0, 0.98, 0.87
Node_species22_species14_0, 1, 0, 0.01, 0.18, 1, 0, 1, 0.98
Node_species22_species24_0, 0.67, 0, 0.28, 0.43, 0.65, 0.01, 0.67, 0.59
Node_species25_species10_0, 0.32, 0, 0.28, 0.09, 0.29, 0.01, 0.32, 0.29
Node_species26_species18_0, 0.81, 0, 0.04, 0.25, 0.75, 0, 0.81, 0.8
Node_species27_species23_0, 0.88, 0, 0.26, 0.21, 0.88, 0, 0.88, 0.75
Node_species28_species2_0, 0.35, 0, 0.12, 0.1, 0.35, 0.08, 0.35, 0.17
Node_species3_species1_0, 1.05, 0, 0.03, 0.18, 1, 0, 1.05, 1.01
Node_species4_species22_0, 0.31, 0, 0.26, 0.07, 0.31, 0, 0.31, 0.18
Node_species4_species25_0, 1.02, 0, 0.04, 0.05, 1, 0, 1.02, 1
Node_species4_species6_0, 0.99, 0, 0.06, 0.09, 0.96, 0.01, 0.99, 0.99
Node_species5_species11_0, 0.41, 0, 0.36, 0.28, 0.4, 0, 0.41, 0.39
Node_species6_species13_0, 0.57, 0, 0.13, 0.25, 0.56, 0.18, 0.57, 0.55
Node_species6_species27_0, 0.42, 0, 0.06, 0.14, 0.41, 0.1, 0.42, 0.42
Node_species7_species5_0, 0.79, 0, 0.04, 0.22, 0.76, 0.1, 0.79, 0.74
Node_species8_species12_0, 0.49, 0, 0, 0.07, 0.49, 0.23, 0.49, 0.38
Node_species8_species17_0, 0.98, 0, 0.09, 1.22, 0.98, 0.01, 0.98, 0.96
Node_species8_species26_0, 0.98, 0, 0.01, 0.49, 0.98, 0, 0.98, 0.97
species0, 1, 0, 0.02, 0.01, 1, 0, 1, 1
species1, 1, 0, 0.14, 0.59, 1, 0, 1, 1
species10, 1, 0, 0.12, 0.64, 1, 0.01, 1, 1
species11, 1, 0, 0.33, 0.31, 1, 0.03, 1, 1
species12, 1, 0, 0.04, 0.47, 1, 0.01, 1, 1
species13, 1, 0, 0.14, 0.34, 1, 0, 1, 1
species14, 1, 0, 0.05, 0.31, 1, 0.01, 1, 1
species15, 1, 0, 0.05, 0.79, 1, 0.04, 1, 1
species16, 1, 0, 0.23, 0.01, 1, 0, 1, 1
species17, 1, 0, 0.01, 0.41, 1, 0, 1, 1
species18, 1, 0, 0.15, 0.35, 1, 0, 1, 1
species19, 1, 0, 0.03, 0.04, 1, 0, 1, 1
species2, 1, 0, 0.05, 0.42, 1, 0, 1, 1
species20, 1, 0, 0.05, 0.06, 1, 0, 1, 1
species21, 1, 0, 0.01, 0.78, 1, 0, 1, 1
species22, 1, 0, 0.01, 0.13, 1, 0, 1, 1
species23, 1, 0, 0.6, 0.09, 1, 0, 1, 1
species24, 1, 0, 0.12, 0.29, 1, 0, 1, 1
species25, 1, 0, 0.14, 0.05, 1, 0, 1, 1
species26, 1, 0, 0.16, 0.08, 1, 0, 1, 1
species27, 1, 0, 0.02, 0, 1, 0, 1, 1
species28, 1, 0, 0.11, 0.1, 1, 0, 1, 1
species3, 1, 0, 0.01, 0.27, 1, 0, 1, 1
species4, 1, 0, 0.04, 0.08, 1, 0, 1, 1
species5, 1, 0, 0.11, 0.3, 1, 0, 1, 1
species6, 1, 0, 0.08, 0.71, 1, 0, 1, 1
species7, 1, 0, 0.26, 0.2, 1, 0, 1, 1
species8, 1, 0, 0.09, 0.13, 1, 0, 1, 1
species9, 1, 0, 0, 0.17, 1, 0, 1, 1
