species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_species0_species3_0, 0.88, 0, 0.02, 0.02, 0.81, 0, 0.88, 0.81
Node_species10_species19_0, 1, 0, 0.03, 0.04, 1, 0, 1, 0.95
Node_species12_species0_0, 0.95, 0, 0.04, 0.31, 0.91, 0, 0.95, 0.92
Node_species12_species16_0, 1, 0, 0.1, 0.1, 1, 0, 1, 0.93
Node_species12_species20_0, 0.01, 0, 0, 0.01, 0.01, 0.01, 0.01, 0.01
Node_species12_species4_0, 0.55, 0, 0.12, 0.21, 0.47, 0.04, 0.55, 0.5
Node_species12_species7_0, 1.04, 0, 0.15, 1.03, 0.89, 0.01, 1.04, 1
Node_species16_species28_0, 0.08, 0, 0, 0.03, 0.08, 0.02, 0.08, 0.07
Node_species19_species15_0, 0.47, 0, 0, 0.03, 0.46, 0.07, 0.47, 0.25
Node_species20_species21_0, 1.03, 0, 0.01, 0.07, 1, 0, 1.03, 1
Node_species21_species9_0, 0.75, 0, 0.34, 0.09, 0.73, 0, 0.75, 0.09
Node_species22_species14_0, 1, 0, 0.04, 0.08, 0.98, 0, 1, 0.99
Node_species22_species24_0, 1, 0, 0.03, 0.29, 1, 0, 1, 1
Node_species25_species10_0, 1.03, 0, 0.03, 0.03, 1, 0, 1.03, 1.02
Node_species26_species18_0, 0.96, 0, 0.28, 0.42, 0.95, 0, 0.96, 0.4
Node_species27_species23_0, 0.38, 0, 0.47, 0.22, 0.37, 0.01, 0.38, 0.37
Node_species28_species2_0, 0.16, 0, 0.09, 0.05, 0.16, 0.15, 0.16, 0.16
Node_species3_species1_0, 1.05, 0, 0.03, 0.25, 0.99, 0.01, 1.05, 1.04
Node_species4_species22_0, 0.93, 0, 0.19, 1.08, 0.9, 0.01, 0.93, 0.91
Node_species4_species25_0, 1.11, 0, 0.06, 0.07, 0.97, 0.02, 1.11, 1.1
Node_species4_species6_0, 0.72, 0, 0.18, 0.09, 0.7, 0, 0.72, 0.72
Node_species5_species11_0, 1.01, 0, 0.01, 1.01, 1, 0, 1.01, 1.01
Node_species6_species13_0, 0.93, 0, 0.06, 0.33, 0.93, 0.42, 0.93, 0.83
Node_species6_species27_0, 0.13, 0, 0.05, 0.01, 0.13, 0, 0.13, 0.12
Node_species7_species5_0, 1, 0, 0.01, 0.15, 0.99, 0.02, 1, 0.97
Node_species8_species12_0, 0.96, 0, 0.02, 0.3, 0.96, 0, 0.96, 0.32
Node_species8_species17_0, 1, 0, 0.91, 0.38, 0.96, 0.05, 1, 0.52
Node_species8_species26_0, 0.84, 0, 0.38, 0.33, 0.8, 0, 0.84, 0.72
species0, 1, 0, 0.03, 0.1, 1, 0, 1, 1
species1, 1, 0, 0.08, 0.21, 1, 0, 1, 1
species10, 1, 0, 0, 0.32, 1, 0, 1, 1
species11, 1, 0, 0.17, 0.47, 1, 0.01, 1, 1
species12, 1, 0, 0.01, 0.22, 1, 0, 1, 1
species13, 1, 0, 0.11, 0.2, 1, 0, 1, 1
species14, 1, 0, 0.03, 0.17, 1, 0, 1, 1
species15, 1, 0, 0.15, 0.04, 1, 0, 1, 1
species16, 1, 0, 0.29, 0.61, 1, 0.03, 1, 1
species17, 1, 0, 0.02, 0.05, 1, 0, 1, 1
species18, 1, 0, 0.03, 0.06, 1, 0, 1, 1
species19, 1, 0, 0.16, 0.02, 1, 0, 1, 1
species2, 1, 0, 0.02, 0.19, 1, 0.07, 1, 1
species20, 1, 0, 0.88, 0.53, 1, 0.04, 1, 1
species21, 1, 0, 0.73, 0.01, 1, 0, 1, 1
species22, 1, 0, 0.04, 0.05, 1, 0, 1, 1
species23, 1, 0, 0.02, 0.05, 1, 0, 1, 1
species24, 1, 0, 0.24, 0.08, 1, 0, 1, 1
species25, 1, 0, 0.03, 0.06, 1, 0, 1, 1
species26, 1, 0, 0.03, 0.11, 1, 0, 1, 1
species27, 1, 0, 0.08, 0.19, 1, 0, 1, 1
species28, 1, 0, 0.13, 1.63, 1, 0, 1, 1
species3, 1, 0, 0.32, 0.59, 1, 0, 1, 1
species4, 1, 0, 0, 0.5, 1, 0.01, 1, 1
species5, 1, 0, 0.26, 0.35, 1, 0, 1, 1
species6, 1, 0, 0.01, 0.02, 1, 0, 1, 1
species7, 1, 0, 0.04, 0.54, 1, 0, 1, 1
species8, 1, 0, 0.08, 0.08, 1, 0, 1, 1
species9, 1, 0, 0.95, 0.14, 1, 0, 1, 1
