species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_species0_species3_0, 0.99, 0, 0.04, 0.17, 0.99, 0, 0.99, 0.94
Node_species10_species19_0, 0.33, 0, 0.15, 0.19, 0.31, 0.01, 0.33, 0.29
Node_species12_species0_0, 0.76, 0, 0.03, 0.16, 0.71, 0.03, 0.76, 0.71
Node_species12_species16_0, 0.91, 0, 0.07, 0.17, 0.88, 0, 0.91, 0.9
Node_species12_species20_0, 0.05, 0, 0, 0, 0.05, 0.05, 0.05, 0.05
Node_species12_species4_0, 0.67, 0, 0.47, 0.35, 0.63, 0.05, 0.67, 0.42
Node_species12_species7_0, 0.18, 0, 0.1, 0.13, 0.18, 0, 0.18, 0.18
Node_species16_species28_0, 0.11, 0, 0, 0.03, 0.11, 0.02, 0.11, 0.08
Node_species19_species15_0, 0.66, 0, 0.18, 0.21, 0.66, 0.29, 0.66, 0.49
Node_species20_species21_0, 0.8, 0, 0.14, 0.34, 0.74, 0.01, 0.8, 0.76
Node_species21_species9_0, 0.97, 0, 0.16, 0.57, 0.97, 0, 0.97, 0.74
Node_species22_species14_0, 0.78, 0, 0.14, 0.27, 0.77, 0.03, 0.78, 0.36
Node_species22_species24_0, 0.28, 0, 0.76, 0.28, 0.27, 0.02, 0.28, 0.25
Node_species25_species10_0, 0.18, 0, 0.24, 0.23, 0.18, 0.03, 0.18, 0.14
Node_species26_species18_0, 0.84, 0, 0.12, 0.28, 0.74, 0.02, 0.84, 0.74
Node_species27_species23_0, 0.7, 0, 0.06, 0.19, 0.64, 0.02, 0.7, 0.63
Node_species28_species2_0, 0.14, 0, 0.05, 0.05, 0.13, 0.02, 0.14, 0.12
Node_species3_species1_0, 0.67, 0, 0.33, 0.18, 0.61, 0, 0.67, 0.67
Node_species4_species22_0, 0.63, 0, 0.06, 0.18, 0.62, 0.04, 0.63, 0.32
Node_species4_species25_0, 0.85, 0, 0.17, 0.55, 0.8, 0.01, 0.85, 0.79
Node_species4_species6_0, 0.5, 0, 0.25, 0.25, 0.48, 0, 0.5, 0.5
Node_species5_species11_0, 0.28, 0, 0.09, 0.21, 0.26, 0.01, 0.28, 0.24
Node_species6_species13_0, 0.76, 0, 0.02, 0.1, 0.75, 0.01, 0.76, 0.72
Node_species6_species27_0, 0.32, 0, 0.02, 0.07, 0.31, 0.01, 0.32, 0.29
Node_species7_species5_0, 0.95, 0, 0.05, 0.28, 0.92, 0.06, 0.95, 0.79
Node_species8_species12_0, 0.27, 0, 0.01, 0.08, 0.27, 0, 0.27, 0.15
Node_species8_species17_0, 0.84, 0, 0.22, 0.36, 0.7, 0.02, 0.84, 0.82
Node_species8_species26_0, 0.68, 0, 0.42, 0.46, 0.65, 0.04, 0.68, 0.48
species0, 1, 0, 0.02, 0.51, 1, 0, 1, 1
species1, 1, 0, 0.59, 0.39, 1, 0, 1, 1
species10, 1, 0, 0.06, 0.91, 1, 0, 1, 1
species11, 1, 0, 0.06, 0.26, 1, 0.04, 1, 1
species12, 1, 0, 0.06, 0.57, 1, 0.02, 1, 1
species13, 1, 0, 0.65, 0.34, 1, 0, 1, 1
species14, 1, 0, 0.02, 0.4, 1, 0.06, 1, 1
species15, 1, 0, 0.08, 0.28, 1, 0, 1, 1
species16, 1, 0, 0.06, 0.81, 1, 0.02, 1, 1
species17, 1, 0, 0.2, 0.2, 1, 0, 1, 1
species18, 1, 0, 0.31, 0.84, 1, 0, 1, 1
species19, 1, 0, 0.11, 0.58, 1, 0, 1, 1
species2, 1, 0, 0.04, 0.53, 1, 0, 1, 1
species20, 1, 0, 0.12, 0.59, 1, 0, 1, 1
species21, 1, 0, 0.02, 0.12, 1, 0, 1, 1
species22, 1, 0, 0.25, 0.81, 1, 0.02, 1, 1
species23, 1, 0, 0.24, 0.5, 1, 0, 1, 1
species24, 1, 0, 0.06, 0.32, 1, 0.01, 1, 1
species25, 1, 0, 0.02, 0.35, 1, 0.01, 1, 1
species26, 1, 0, 0.4, 0.28, 1, 0, 1, 1
species27, 1, 0, 0.03, 1.6, 1, 0, 1, 1
species28, 1, 0, 0.1, 0.26, 1, 0, 1, 1
species3, 1, 0, 0.16, 0.43, 1, 0.01, 1, 1
species4, 1, 0, 0.01, 0.43, 1, 0, 1, 1
species5, 1, 0, 0.04, 0.43, 1, 0.01, 1, 1
species6, 1, 0, 0.04, 0.17, 1, 0, 1, 1
species7, 1, 0, 0.03, 0.25, 1, 0, 1, 1
species8, 1, 0, 0.51, 0.56, 1, 0, 1, 1
species9, 1, 0, 0.05, 0.53, 1, 0, 1, 1
