species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_species0_species3_0, 0.96, 0, 0.21, 0.35, 0.96, 0, 0.96, 0.44
Node_species10_species19_0, 0.53, 0, 0.1, 0.13, 0.5, 0, 0.53, 0.44
Node_species12_species0_0, 0.39, 0, 0.15, 0.23, 0.37, 0, 0.39, 0.31
Node_species12_species16_0, 0.88, 0, 0.23, 0.18, 0.87, 0, 0.88, 0.85
Node_species12_species20_0, 0.05, 0, 0.01, 0.03, 0.05, 0.06, 0.05, 0.05
Node_species12_species4_0, 0.89, 0, 0.09, 0.34, 0.89, 0, 0.89, 0.51
Node_species12_species7_0, 0.67, 0, 0.46, 0.46, 0.64, 0, 0.67, 0.65
Node_species16_species28_0, 0.18, 0, 0.02, 0.07, 0.18, 0.06, 0.18, 0.14
Node_species19_species15_0, 0.77, 0, 0.08, 0.22, 0.77, 0.31, 0.77, 0.73
Node_species20_species21_0, 0.97, 0, 0.16, 0.29, 0.96, 0.01, 0.97, 0.48
Node_species21_species9_0, 0.38, 0, 0.19, 0.09, 0.32, 0, 0.38, 0.36
Node_species22_species14_0, 0.48, 0, 0.28, 0.19, 0.43, 0, 0.48, 0.43
Node_species22_species24_0, 0.96, 0, 0.2, 0.46, 0.96, 0.03, 0.96, 0.78
Node_species25_species10_0, 1.05, 0, 0.07, 0.35, 0.92, 0, 1.05, 1
Node_species26_species18_0, 1, 0, 0.01, 0.07, 1, 0, 1, 0.95
Node_species27_species23_0, 0.33, 0, 0.69, 0.25, 0.33, 0, 0.33, 0.24
Node_species28_species2_0, 0.35, 0, 0.05, 0.14, 0.34, 0.11, 0.35, 0.34
Node_species3_species1_0, 1.01, 0, 0.12, 0.41, 0.94, 0, 1.01, 1
Node_species4_species22_0, 0.3, 0, 0.56, 0.27, 0.29, 0, 0.3, 0.23
Node_species4_species25_0, 1.01, 0, 0.02, 0.24, 0.98, 0, 1.01, 0.98
Node_species4_species6_0, 0.77, 0, 0.11, 0.2, 0.7, 0, 0.77, 0.75
Node_species5_species11_0, 0.97, 0, 0.04, 0.24, 0.95, 0, 0.97, 0.96
Node_species6_species13_0, 0.91, 0, 0.04, 0.09, 0.9, 0.15, 0.91, 0.89
Node_species6_species27_0, 0.48, 0, 0.07, 0.16, 0.46, 0.14, 0.48, 0.45
Node_species7_species5_0, 1.01, 0, 0.05, 0.1, 0.95, 0.04, 1.01, 0.96
Node_species8_species12_0, 0.37, 0, 0.02, 0.09, 0.36, 0.01, 0.37, 0.14
Node_species8_species17_0, 1.01, 0, 0.07, 0.47, 0.95, 0, 1.01, 1.01
Node_species8_species26_0, 0.82, 0, 0.17, 0.29, 0.73, 0.02, 0.82, 0.51
species0, 1, 0, 0.2, 0.2, 1, 0, 1, 1
species1, 1, 0, 0.7, 0.36, 1, 0.01, 1, 1
species10, 1, 0, 0.01, 0.17, 1, 0.01, 1, 1
species11, 1, 0, 0.03, 0.2, 1, 0.01, 1, 1
species12, 1, 0, 0.06, 0.51, 1, 0.01, 1, 1
species13, 1, 0, 0.31, 0.35, 1, 0, 1, 1
species14, 1, 0, 0.03, 0.33, 1, 0, 1, 1
species15, 1, 0, 0.15, 0.46, 1, 0, 1, 1
species16, 1, 0, 0.07, 0.08, 1, 0, 1, 1
species17, 1, 0, 0.18, 0.46, 1, 0, 1, 1
species18, 1, 0, 0.04, 0.16, 1, 0, 1, 1
species19, 1, 0, 0.04, 0.07, 1, 0, 1, 1
species2, 1, 0, 0.14, 0.62, 1, 0, 1, 1
species20, 1, 0, 0.11, 0.46, 1, 0, 1, 1
species21, 1, 0, 0.02, 0.04, 1, 0, 1, 1
species22, 1, 0, 0.02, 0.81, 1, 0, 1, 1
species23, 1, 0, 0.03, 0.16, 1, 0, 1, 1
species24, 1, 0, 0.11, 0.55, 1, 0, 1, 1
species25, 1, 0, 0.43, 0.52, 1, 0, 1, 1
species26, 1, 0, 0.1, 0.21, 1, 0, 1, 1
species27, 1, 0, 0, 0.01, 1, 0, 1, 1
species28, 1, 0, 0.1, 0.26, 1, 0, 1, 1
species3, 1, 0, 0.15, 0.43, 1, 0, 1, 1
species4, 1, 0, 0.04, 0.33, 1, 0, 1, 1
species5, 1, 0, 0.15, 0.28, 1, 0, 1, 1
species6, 1, 0, 0.18, 0.61, 1, 0, 1, 1
species7, 1, 0, 0.15, 0.28, 1, 0, 1, 1
species8, 1, 0, 0.31, 1.13, 1, 0, 1, 1
species9, 1, 0, 0.29, 0.46, 1, 0.02, 1, 1
