species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_species0_species3_0, 0.38, 0, 0.33, 0.14, 0.35, 0.01, 0.38, 0.33
Node_species10_species19_0, 0.57, 0, 0.09, 0.35, 0.57, 0.01, 0.57, 0.48
Node_species12_species0_0, 0.97, 0, 0.08, 0.66, 0.97, 0.01, 0.97, 0.95
Node_species12_species16_0, 0.73, 0, 0.27, 0.24, 0.72, 0.03, 0.73, 0.63
Node_species12_species20_0, 0.02, 0, 0, 0.01, 0.02, 0.02, 0.02, 0.02
Node_species12_species4_0, 0.55, 0, 0.13, 0.1, 0.52, 0, 0.55, 0.54
Node_species12_species7_0, 0.96, 0, 0.04, 0.51, 0.95, 0.18, 0.96, 0.77
Node_species16_species28_0, 0.18, 0, 0, 0.02, 0.18, 0.04, 0.18, 0.14
Node_species19_species15_0, 0.93, 0, 0.03, 0.33, 0.87, 0.05, 0.93, 0.92
Node_species20_species21_0, 0.4, 0, 0.29, 0.17, 0.39, 0.02, 0.4, 0.3
Node_species21_species9_0, 0.41, 0, 0.13, 0.07, 0.37, 0, 0.41, 0.41
Node_species22_species14_0, 0.44, 0, 0.43, 0.29, 0.42, 0.01, 0.44, 0.39
Node_species22_species24_0, 0.79, 0, 0.07, 0.41, 0.78, 0, 0.79, 0.73
Node_species25_species10_0, 0.43, 0, 0.35, 0.41, 0.42, 0.01, 0.43, 0.43
Node_species26_species18_0, 0.92, 0, 0.15, 0.09, 0.9, 0, 0.92, 0.47
Node_species27_species23_0, 0.43, 0, 0.07, 0.07, 0.42, 0.01, 0.43, 0.42
Node_species28_species2_0, 0.59, 0, 0.04, 0.17, 0.58, 0.11, 0.59, 0.36
Node_species3_species1_0, 0.43, 0, 0.18, 0.39, 0.41, 0, 0.43, 0.41
Node_species4_species22_0, 0.98, 0, 0.04, 0.19, 0.98, 0.01, 0.98, 0.95
Node_species4_species25_0, 0.38, 0, 0.22, 0.28, 0.38, 0.02, 0.38, 0.29
Node_species4_species6_0, 0.45, 0, 0.66, 0.45, 0.42, 0.01, 0.45, 0.39
Node_species5_species11_0, 0.73, 0, 0.15, 0.38, 0.71, 0, 0.73, 0.69
Node_species6_species13_0, 0.7, 0, 0.4, 0.29, 0.62, 0.02, 0.7, 0.66
Node_species6_species27_0, 0.84, 0, 0.06, 0.45, 0.84, 0.18, 0.84, 0.76
Node_species7_species5_0, 0.8, 0, 0.1, 0.14, 0.72, 0, 0.8, 0.7
Node_species8_species12_0, 0.43, 0, 0.02, 0.17, 0.43, 0.08, 0.43, 0.22
Node_species8_species17_0, 0.36, 0, 0.19, 0.25, 0.35, 0.02, 0.36, 0.35
Node_species8_species26_0, 0.97, 0, 0.02, 0.37, 0.96, 0, 0.97, 0.97
species0, 1, 0, 0.11, 0.15, 1, 0, 1, 1
species1, 1, 0, 0.21, 0.46, 1, 0, 1, 1
species10, 1, 0, 0.14, 0.4, 1, 0.01, 1, 1
species11, 1, 0, 0.09, 1.02, 1, 0, 1, 1
species12, 1, 0, 0.28, 0.53, 1, 0, 1, 1
species13, 1, 0, 0.52, 0.3, 1, 0, 1, 1
species14, 1, 0, 0.02, 0.69, 1, 0.02, 1, 1
species15, 1, 0, 0.05, 0.24, 1, 0, 1, 1
species16, 1, 0, 0.4, 0.47, 1, 0, 1, 1
species17, 1, 0, 0.02, 0.76, 1, 0.01, 1, 1
species18, 1, 0, 0.07, 0.9, 1, 0, 1, 1
species19, 1, 0, 0.07, 0.28, 1, 0.01, 1, 1
species2, 1, 0, 0.13, 0.39, 1, 0, 1, 1
species20, 1, 0, 0.05, 0.08, 1, 0, 1, 1
species21, 1, 0, 0.15, 0.02, 1, 0, 1, 1
species22, 1, 0, 0.09, 0.63, 1, 0.01, 1, 1
species23, 1, 0, 0.11, 0.32, 1, 0, 1, 1
species24, 1, 0, 0.05, 0.59, 1, 0, 1, 1
species25, 1, 0, 0.39, 0.23, 1, 0, 1, 1
species26, 1, 0, 0.08, 0.68, 1, 0.02, 1, 1
species27, 1, 0, 0.12, 0.41, 1, 0, 1, 1
species28, 1, 0, 0.22, 0.36, 1, 0, 1, 1
species3, 1, 0, 0.04, 0.19, 1, 0, 1, 1
species4, 1, 0, 0.06, 0.33, 1, 0.01, 1, 1
species5, 1, 0, 0.01, 0.05, 1, 0, 1, 1
species6, 1, 0, 0.09, 1.03, 1, 0, 1, 1
species7, 1, 0, 0.14, 0.08, 1, 0, 1, 1
species8, 1, 0, 0.26, 0.26, 1, 0.01, 1, 1
species9, 1, 0, 0.19, 0.68, 1, 0.05, 1, 1
