species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_species0_species3_0, 0.55, 0, 0.45, 0.23, 0.5, 0, 0.55, 0.51
Node_species10_species19_0, 0.99, 0, 0.01, 0.91, 0.99, 0, 0.99, 0.95
Node_species12_species0_0, 0.42, 0, 0.5, 0.27, 0.41, 0, 0.42, 0.17
Node_species12_species16_0, 0.4, 0, 0.04, 0.04, 0.39, 0, 0.4, 0.4
Node_species12_species20_0, 0.13, 0, 0, 0.03, 0.13, 0.13, 0.13, 0.13
Node_species12_species4_0, 0.83, 0, 0.05, 0.12, 0.81, 0.08, 0.83, 0.67
Node_species12_species7_0, 0.67, 0, 0.05, 0.27, 0.66, 0.05, 0.67, 0.6
Node_species16_species28_0, 0.33, 0, 0.02, 0.08, 0.31, 0.04, 0.33, 0.25
Node_species19_species15_0, 0.49, 0, 0.18, 0.56, 0.48, 0.03, 0.49, 0.45
Node_species20_species21_0, 1, 0, 0.06, 0.24, 0.99, 0, 1, 0.97
Node_species21_species9_0, 0.72, 0, 0.08, 0.1, 0.66, 0, 0.72, 0.61
Node_species22_species14_0, 1.01, 0, 0.04, 0.24, 0.99, 0, 1.01, 0.99
Node_species22_species24_0, 0.14, 0, 0.38, 0.06, 0.14, 0, 0.14, 0.13
Node_species25_species10_0, 0.49, 0, 0.15, 0.28, 0.49, 0.15, 0.49, 0.33
Node_species26_species18_0, 0.92, 0, 0.15, 0.32, 0.92, 0, 0.92, 0.76
Node_species27_species23_0, 0.56, 0, 0.36, 0.13, 0.54, 0.21, 0.56, 0.49
Node_species28_species2_0, 0.38, 0, 0.07, 0.04, 0.36, 0.01, 0.38, 0.36
Node_species3_species1_0, 0.44, 0, 0.96, 0.43, 0.42, 0, 0.44, 0.25
Node_species4_species22_0, 0.59, 0, 0.13, 0.37, 0.59, 0, 0.59, 0.58
Node_species4_species25_0, 1.02, 0, 0.03, 0.04, 1, 0, 1.02, 1.01
Node_species4_species6_0, 0.58, 0, 0.12, 0.08, 0.52, 0.01, 0.58, 0.54
Node_species5_species11_0, 0.23, 0, 0.16, 0.1, 0.23, 0.01, 0.23, 0.22
Node_species6_species13_0, 0.42, 0, 0.18, 0.31, 0.41, 0, 0.42, 0.42
Node_species6_species27_0, 0.55, 0, 0.12, 0.14, 0.54, 0, 0.55, 0.4
Node_species7_species5_0, 0.42, 0, 0.14, 0.44, 0.42, 0.05, 0.42, 0.38
Node_species8_species12_0, 0.88, 0, 0.01, 0.45, 0.88, 0.04, 0.88, 0.46
Node_species8_species17_0, 1.05, 0, 0.06, 0.3, 0.96, 0, 1.05, 1.05
Node_species8_species26_0, 0.58, 0, 0.1, 0.13, 0.47, 0.05, 0.58, 0.55
species0, 1, 0, 0.1, 0.16, 1, 0, 1, 1
species1, 1, 0, 0.08, 0.63, 1, 0.02, 1, 1
species10, 1, 0, 0.03, 0.13, 1, 0.03, 1, 1
species11, 1, 0, 0.02, 0.33, 1, 0, 1, 1
species12, 1, 0, 0.09, 0.13, 1, 0, 1, 1
species13, 1, 0, 0.33, 0.14, 1, 0.01, 1, 1
species14, 1, 0, 0.02, 0.19, 1, 0, 1, 1
species15, 1, 0, 0.06, 0.61, 1, 0, 1, 1
species16, 1, 0, 0.06, 0.18, 1, 0, 1, 1
species17, 1, 0, 0.06, 0.94, 1, 0, 1, 1
species18, 1, 0, 0.05, 1.07, 1, 0, 1, 1
species19, 1, 0, 0.03, 0.02, 1, 0, 1, 1
species2, 1, 0, 0.25, 0.05, 1, 0.01, 1, 1
species20, 1, 0, 0.03, 0.06, 1, 0, 1, 1
species21, 1, 0, 0.28, 0.26, 1, 0, 1, 1
species22, 1, 0, 0.02, 0.21, 1, 0, 1, 1
species23, 1, 0, 0.01, 0.46, 1, 0, 1, 1
species24, 1, 0, 0.32, 0.44, 1, 0.04, 1, 1
species25, 1, 0, 0.02, 0.83, 1, 0.03, 1, 1
species26, 1, 0, 0.2, 0.31, 1, 0, 1, 1
species27, 1, 0, 0.22, 0.41, 1, 0, 1, 1
species28, 1, 0, 0.17, 0.13, 1, 0, 1, 1
species3, 1, 0, 0.11, 0.25, 1, 0, 1, 1
species4, 1, 0, 0.04, 0.29, 1, 0, 1, 1
species5, 1, 0, 0.05, 0.52, 1, 0, 1, 1
species6, 1, 0, 0.03, 0.06, 1, 0, 1, 1
species7, 1, 0, 0.02, 0.36, 1, 0, 1, 1
species8, 1, 0, 0.09, 0.18, 1, 0, 1, 1
species9, 1, 0, 0.09, 2.63, 1, 0, 1, 1
