species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_species0_species3_0, 0.52, 0, 0.09, 0.13, 0.5, 0, 0.52, 0.52
Node_species10_species19_0, 0.39, 0, 0.1, 0.06, 0.37, 0.01, 0.39, 0.35
Node_species12_species0_0, 1.01, 0, 0.01, 0.49, 1, 0, 1.01, 1.01
Node_species12_species16_0, 0.9, 0, 0.03, 0.61, 0.87, 0.01, 0.9, 0.9
Node_species12_species20_0, 0.01, 0, 0, 0.01, 0.01, 0.01, 0.01, 0.01
Node_species12_species4_0, 0.99, 0, 0.02, 0.21, 0.99, 0, 0.99, 0.91
Node_species12_species7_0, 0.97, 0, 0.49, 0.28, 0.96, 0, 0.97, 0.22
Node_species16_species28_0, 0.14, 0, 0.02, 0.03, 0.14, 0.07, 0.14, 0.08
Node_species19_species15_0, 0.99, 0, 0.01, 0.21, 0.99, 0, 0.99, 0.98
Node_species20_species21_0, 0.62, 0, 0.25, 0.14, 0.6, 0.01, 0.62, 0.31
Node_species21_species9_0, 0.46, 0, 0.6, 0.17, 0.45, 0, 0.46, 0.36
Node_species22_species14_0, 0.49, 0, 0.11, 0.27, 0.41, 0, 0.49, 0.44
Node_species22_species24_0, 0.8, 0, 0.15, 0.86, 0.77, 0, 0.8, 0.8
Node_species25_species10_0, 0.58, 0, 0.14, 0.22, 0.55, 0.02, 0.58, 0.56
Node_species26_species18_0, 0.94, 0, 0.1, 0.05, 0.91, 0, 0.94, 0.94
Node_species27_species23_0, 0.89, 0, 0.13, 0.13, 0.89, 0, 0.89, 0.88
Node_species28_species2_0, 0.36, 0, 0.02, 0.2, 0.36, 0.21, 0.36, 0.34
Node_species3_species1_0, 0.97, 0, 0.13, 0.15, 0.97, 0, 0.97, 0.37
Node_species4_species22_0, 1, 0, 0.02, 0.11, 1, 0, 1, 0.99
Node_species4_species25_0, 0.76, 0, 0.1, 0.22, 0.72, 0.01, 0.76, 0.63
Node_species4_species6_0, 1, 0, 0.02, 0.06, 1, 0.01, 1, 0.99
Node_species5_species11_0, 0.58, 0, 0.3, 0.3, 0.56, 0, 0.58, 0.58
Node_species6_species13_0, 0.97, 0, 0.04, 0.15, 0.96, 0.01, 0.97, 0.97
Node_species6_species27_0, 0.98, 0, 0, 0.24, 0.98, 0.51, 0.98, 0.88
Node_species7_species5_0, 0.87, 0, 0.2, 0.34, 0.87, 0, 0.87, 0.79
Node_species8_species12_0, 0.4, 0, 0, 0.09, 0.4, 0.07, 0.4, 0.23
Node_species8_species17_0, 0.46, 0, 0.47, 0.18, 0.4, 0.01, 0.46, 0.44
Node_species8_species26_0, 0.99, 0, 0.07, 0.17, 0.99, 0, 0.99, 0.99
species0, 1, 0, 0.02, 0.02, 1, 0, 1, 1
species1, 1, 0, 0.01, 0.49, 1, 0, 1, 1
species10, 1, 0, 0.14, 1.07, 1, 0.01, 1, 1
species11, 1, 0, 0, 0.03, 1, 0, 1, 1
species12, 1, 0, 0.49, 0.03, 1, 0.01, 1, 1
species13, 1, 0, 0.18, 0.74, 1, 0, 1, 1
species14, 1, 0, 0.04, 0.32, 1, 0, 1, 1
species15, 1, 0, 0.02, 0.58, 1, 0, 1, 1
species16, 1, 0, 0.01, 0.05, 1, 0, 1, 1
species17, 1, 0, 0.08, 0.13, 1, 0, 1, 1
species18, 1, 0, 0.04, 0.02, 1, 0, 1, 1
species19, 1, 0, 0.07, 0.07, 1, 0, 1, 1
species2, 1, 0, 0.18, 0.14, 1, 0, 1, 1
species20, 1, 0, 0.02, 0.32, 1, 0, 1, 1
species21, 1, 0, 0.44, 0.02, 1, 0, 1, 1
species22, 1, 0, 0.1, 0.26, 1, 0, 1, 1
species23, 1, 0, 0.23, 1.3, 1, 0, 1, 1
species24, 1, 0, 0.01, 0.1, 1, 0, 1, 1
species25, 1, 0, 0.05, 0.32, 1, 0.02, 1, 1
species26, 1, 0, 0.06, 0.03, 1, 0, 1, 1
species27, 1, 0, 0.09, 0.2, 1, 0, 1, 1
species28, 1, 0, 0, 0.04, 1, 0, 1, 1
species3, 1, 0, 0.02, 0.25, 1, 0, 1, 1
species4, 1, 0, 0.05, 0.17, 1, 0, 1, 1
species5, 1, 0, 0, 0.12, 1, 0, 1, 1
species6, 1, 0, 0.04, 0.9, 1, 0, 1, 1
species7, 1, 0, 0, 0.03, 1, 0, 1, 1
species8, 1, 0, 0.32, 0.25, 1, 0, 1, 1
species9, 1, 0, 0.18, 0.39, 1, 0, 1, 1
