species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_species0_species3_0, 1, 0, 0.04, 0.09, 1, 0, 1, 0.97
Node_species10_species19_0, 0.91, 0, 0.08, 0.29, 0.91, 0.03, 0.91, 0.4
Node_species12_species0_0, 0.7, 0, 0.06, 0.16, 0.67, 0, 0.7, 0.7
Node_species12_species16_0, 0.82, 0, 0.05, 0.08, 0.78, 0, 0.82, 0.81
Node_species12_species20_0, 0.04, 0, 0, 0.02, 0.04, 0.04, 0.04, 0.04
Node_species12_species4_0, 0.88, 0, 0.09, 0.24, 0.71, 0.01, 0.88, 0.83
Node_species12_species7_0, 0.38, 0, 0.15, 0.06, 0.37, 0.01, 0.38, 0.19
Node_species16_species28_0, 0.14, 0, 0.03, 0.16, 0.13, 0.02, 0.14, 0.13
Node_species19_species15_0, 0.52, 0, 0.2, 0.26, 0.49, 0.01, 0.52, 0.51
Node_species20_species21_0, 0.65, 0, 0.38, 0.49, 0.62, 0, 0.65, 0.64
Node_species21_species9_0, 0.99, 0, 0.23, 0.58, 0.98, 0.01, 0.99, 0.68
Node_species22_species14_0, 0.96, 0, 0.02, 0.35, 0.94, 0, 0.96, 0.93
Node_species22_species24_0, 0.18, 0, 0.77, 0.12, 0.17, 0.01, 0.18, 0.14
Node_species25_species10_0, 0.21, 0, 0.2, 0.12, 0.17, 0.02, 0.21, 0.21
Node_species26_species18_0, 0.96, 0, 0.32, 0.42, 0.92, 0.03, 0.96, 0.71
Node_species27_species23_0, 0.74, 0, 0.12, 0.29, 0.65, 0.09, 0.74, 0.6
Node_species28_species2_0, 0.41, 0, 0.08, 0.16, 0.39, 0.22, 0.41, 0.33
Node_species3_species1_0, 0.77, 0, 0.22, 0.72, 0.76, 0, 0.77, 0.49
Node_species4_species22_0, 0.71, 0, 0.14, 0.2, 0.69, 0.03, 0.71, 0.39
Node_species4_species25_0, 0.33, 0, 0.42, 0.21, 0.31, 0.01, 0.33, 0.32
Node_species4_species6_0, 0.54, 0, 0.12, 0.23, 0.52, 0.07, 0.54, 0.38
Node_species5_species11_0, 0.26, 0, 0.04, 0.15, 0.24, 0, 0.26, 0.24
Node_species6_species13_0, 0.73, 0, 0.09, 0.17, 0.69, 0.05, 0.73, 0.56
Node_species6_species27_0, 0.61, 0, 0.05, 0.17, 0.59, 0.06, 0.61, 0.47
Node_species7_species5_0, 0.79, 0, 0.11, 1.14, 0.78, 0.06, 0.79, 0.76
Node_species8_species12_0, 0.26, 0, 0.02, 0.02, 0.24, 0.02, 0.26, 0.23
Node_species8_species17_0, 0.49, 0, 0.3, 0.25, 0.46, 0.06, 0.49, 0.3
Node_species8_species26_0, 0.29, 0, 0.64, 0.39, 0.28, 0.04, 0.29, 0.2
species0, 1, 0, 0.04, 0.05, 1, 0, 1, 1
species1, 1, 0, 0.07, 0.52, 1, 0, 1, 1
species10, 1, 0, 0.06, 0.24, 1, 0, 1, 1
species11, 1, 0, 0.45, 0.71, 1, 0.01, 1, 1
species12, 1, 0, 0.06, 0.7, 1, 0, 1, 1
species13, 1, 0, 0.14, 0.82, 1, 0, 1, 1
species14, 1, 0, 0.15, 0.26, 1, 0, 1, 1
species15, 1, 0, 0.05, 0.36, 1, 0.02, 1, 1
species16, 1, 0, 0.45, 0.63, 1, 0, 1, 1
species17, 1, 0, 0.03, 0.29, 1, 0.02, 1, 1
species18, 1, 0, 0.08, 0.65, 1, 0, 1, 1
species19, 1, 0, 0.1, 0.08, 1, 0, 1, 1
species2, 1, 0, 0.1, 0.3, 1, 0, 1, 1
species20, 1, 0, 0.07, 0.75, 1, 0.01, 1, 1
species21, 1, 0, 0.03, 0.06, 1, 0, 1, 1
species22, 1, 0, 0.22, 0.47, 1, 0.01, 1, 1
species23, 1, 0, 0.16, 0.69, 1, 0, 1, 1
species24, 1, 0, 0.07, 0.12, 1, 0, 1, 1
species25, 1, 0, 0.08, 0.11, 1, 0, 1, 1
species26, 1, 0, 0.08, 0.47, 1, 0.02, 1, 1
species27, 1, 0, 0.01, 0.59, 1, 0, 1, 1
species28, 1, 0, 0.05, 0.54, 1, 0, 1, 1
species3, 1, 0, 0.04, 0.21, 1, 0, 1, 1
species4, 1, 0, 0.05, 0.67, 1, 0, 1, 1
species5, 1, 0, 0.04, 0.09, 1, 0, 1, 1
species6, 1, 0, 0.05, 0.32, 1, 0, 1, 1
species7, 1, 0, 0.08, 0.25, 1, 0, 1, 1
species8, 1, 0, 0.07, 0.8, 1, 0.01, 1, 1
species9, 1, 0, 0.02, 0.31, 1, 0, 1, 1
