species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_species0_species3_0, 1.02, 0, 0.18, 0.04, 0.99, 0, 1.02, 0.74
Node_species10_species19_0, 0.64, 0, 0.12, 0.12, 0.6, 0.15, 0.64, 0.38
Node_species12_species0_0, 1.05, 0, 0.06, 0.16, 0.96, 0.01, 1.05, 0.96
Node_species12_species16_0, 1.03, 0, 0.02, 0.2, 0.99, 0.01, 1.03, 1.03
Node_species12_species20_0, 0.15, 0, 0, 0.02, 0.15, 0.15, 0.15, 0.15
Node_species12_species4_0, 1.01, 0, 0.05, 0.1, 0.99, 0.01, 1.01, 0.98
Node_species12_species7_0, 0.89, 0, 0.27, 0.37, 0.88, 0.02, 0.89, 0.83
Node_species16_species28_0, 0.55, 0, 0.01, 0.09, 0.55, 0.13, 0.55, 0.34
Node_species19_species15_0, 1, 0, 0, 0.06, 0.99, 0, 1, 1
Node_species20_species21_0, 0.91, 0, 0.14, 0.2, 0.87, 0.11, 0.91, 0.78
Node_species21_species9_0, 0.88, 0, 0.25, 0.02, 0.78, 0, 0.88, 0.83
Node_species22_species14_0, 0.75, 0, 0.04, 0.18, 0.65, 0.06, 0.75, 0.72
Node_species22_species24_0, 1.03, 0, 0.06, 0.15, 0.99, 0, 1.03, 1.01
Node_species25_species10_0, 1.03, 0, 0.08, 0.41, 0.9, 0, 1.03, 1.02
Node_species26_species18_0, 1, 0, 0.13, 0.13, 0.99, 0, 1, 0.91
Node_species27_species23_0, 0.98, 0, 0.02, 0.22, 0.97, 0, 0.98, 0.98
Node_species28_species2_0, 0.97, 0, 0.01, 0.28, 0.97, 0.11, 0.97, 0.7
Node_species3_species1_0, 1.01, 0, 0.13, 0.2, 0.83, 0, 1.01, 1
Node_species4_species22_0, 0.92, 0, 0.03, 0.28, 0.9, 0.03, 0.92, 0.9
Node_species4_species25_0, 0.95, 0, 0.06, 0.19, 0.89, 0.03, 0.95, 0.93
Node_species4_species6_0, 0.99, 0, 0.15, 0.34, 0.98, 0.01, 0.99, 0.83
Node_species5_species11_0, 1.03, 0, 0.14, 0.27, 0.96, 0.01, 1.03, 0.95
Node_species6_species13_0, 1.01, 0, 0.02, 0.67, 1, 0.01, 1.01, 1
Node_species6_species27_0, 0.99, 0, 0.02, 0.29, 0.99, 0.02, 0.99, 0.98
Node_species7_species5_0, 1.01, 0, 0.01, 0.18, 1, 0, 1.01, 1.01
Node_species8_species12_0, 0.3, 0, 0.04, 0.06, 0.3, 0, 0.3, 0.24
Node_species8_species17_0, 1.01, 0, 0.57, 0.23, 0.82, 0.06, 1.01, 0.58
Node_species8_species26_0, 0.92, 0, 0.23, 0.25, 0.84, 0, 0.92, 0.92
species0, 1, 0, 0.53, 0.1, 1, 0, 1, 1
species1, 1, 0, 0.37, 0.15, 1, 0, 1, 1
species10, 1, 0, 0.14, 0.11, 1, 0, 1, 1
species11, 1, 0, 0.09, 0.04, 1, 0, 1, 1
species12, 1, 0, 0.13, 0.24, 1, 0, 1, 1
species13, 1, 0, 0.02, 0.04, 1, 0, 1, 1
species14, 1, 0, 0.14, 0.19, 1, 0, 1, 1
species15, 1, 0, 0.02, 0.02, 1, 0, 1, 1
species16, 1, 0, 0.11, 0.66, 1, 0, 1, 1
species17, 1, 0, 0.06, 0.17, 1, 0.01, 1, 1
species18, 1, 0, 0.12, 0.02, 1, 0, 1, 1
species19, 1, 0, 0.09, 0.1, 1, 0.01, 1, 1
species2, 1, 0, 0, 0.1, 1, 0, 1, 1
species20, 1, 0, 0.04, 0.42, 1, 0, 1, 1
species21, 1, 0, 0.2, 0.01, 1, 0, 1, 1
species22, 1, 0, 0.05, 0.15, 1, 0, 1, 1
species23, 1, 0, 0.05, 0.09, 1, 0, 1, 1
species24, 1, 0, 0.6, 0.12, 1, 0, 1, 1
species25, 1, 0, 0.75, 0.33, 1, 0.01, 1, 1
species26, 1, 0, 0.03, 0.15, 1, 0, 1, 1
species27, 1, 0, 0.05, 0.02, 1, 0, 1, 1
species28, 1, 0, 0.51, 0.39, 1, 0.01, 1, 1
species3, 1, 0, 0.29, 0.39, 1, 0, 1, 1
species4, 1, 0, 0.11, 0.13, 1, 0.01, 1, 1
species5, 1, 0, 0.06, 0.65, 1, 0, 1, 1
species6, 1, 0, 0.18, 0.11, 1, 0, 1, 1
species7, 1, 0, 0.01, 0, 1, 0, 1, 1
species8, 1, 0, 0.36, 0.69, 1, 0, 1, 1
species9, 1, 0, 0.6, 0.22, 1, 0.02, 1, 1
