species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_species0_species3_0, 1, 0, 0.04, 0.4, 0.99, 0, 1, 0.97
Node_species10_species19_0, 0.39, 0, 0.09, 0.17, 0.38, 0, 0.39, 0.36
Node_species12_species0_0, 0.57, 0, 0.01, 0.25, 0.55, 0.02, 0.57, 0.37
Node_species12_species16_0, 1.1, 0, 0.02, 0.08, 0.98, 0.01, 1.1, 1
Node_species12_species20_0, 0.25, 0, 0, 0.09, 0.25, 0.25, 0.25, 0.25
Node_species12_species4_0, 0.86, 0, 0.16, 0.14, 0.81, 0, 0.86, 0.85
Node_species12_species7_0, 0.26, 0, 0.99, 0.1, 0.26, 0, 0.26, 0.17
Node_species16_species28_0, 0.78, 0, 0, 0.25, 0.78, 0.09, 0.78, 0.42
Node_species19_species15_0, 0.84, 0, 0.21, 0.38, 0.7, 0, 0.84, 0.83
Node_species20_species21_0, 0.65, 0, 0.19, 0.09, 0.61, 0, 0.65, 0.31
Node_species21_species9_0, 0.99, 0, 0.13, 0.3, 0.98, 0.04, 0.99, 0.89
Node_species22_species14_0, 0.37, 0, 0.27, 0.2, 0.36, 0.02, 0.37, 0.34
Node_species22_species24_0, 1.01, 0, 0.13, 0.09, 1, 0, 1.01, 0.98
Node_species25_species10_0, 0.98, 0, 0.06, 0.02, 0.96, 0, 0.98, 0.98
Node_species26_species18_0, 0.33, 0, 0.75, 0.15, 0.29, 0, 0.33, 0.33
Node_species27_species23_0, 0.96, 0, 0.25, 0.19, 0.9, 0.12, 0.96, 0.89
Node_species28_species2_0, 0.87, 0, 0.04, 0.37, 0.83, 0.04, 0.87, 0.84
Node_species3_species1_0, 0.97, 0, 0.51, 0.98, 0.94, 0, 0.97, 0.48
Node_species4_species22_0, 0.17, 0, 0.16, 0.24, 0.17, 0.02, 0.17, 0.17
Node_species4_species25_0, 0.69, 0, 0.13, 0.14, 0.67, 0.01, 0.69, 0.61
Node_species4_species6_0, 0.96, 0, 0.01, 0.2, 0.81, 0.01, 0.96, 0.84
Node_species5_species11_0, 1.01, 0, 0.03, 0.13, 1, 0.01, 1.01, 0.99
Node_species6_species13_0, 0.82, 0, 0.35, 0.57, 0.81, 0.01, 0.82, 0.63
Node_species6_species27_0, 0.93, 0, 0.13, 0.41, 0.81, 0, 0.93, 0.87
Node_species7_species5_0, 0.92, 0, 0.03, 0.02, 0.9, 0.04, 0.92, 0.84
Node_species8_species12_0, 0.36, 0, 0.02, 0.11, 0.35, 0.04, 0.36, 0.33
Node_species8_species17_0, 0.77, 0, 0.14, 0.65, 0.72, 0, 0.77, 0.72
Node_species8_species26_0, 0.75, 0, 0.07, 0.14, 0.64, 0.2, 0.75, 0.74
species0, 1, 0, 0.03, 0.2, 1, 0, 1, 1
species1, 1, 0, 0.05, 0.93, 1, 0, 1, 1
species10, 1, 0, 0.02, 0.03, 1, 0, 1, 1
species11, 1, 0, 0.45, 0.5, 1, 0.01, 1, 1
species12, 1, 0, 0.05, 0.15, 1, 0, 1, 1
species13, 1, 0, 0.04, 0.09, 1, 0, 1, 1
species14, 1, 0, 0.05, 0.35, 1, 0.01, 1, 1
species15, 1, 0, 0.35, 0.53, 1, 0, 1, 1
species16, 1, 0, 0.11, 0.1, 1, 0, 1, 1
species17, 1, 0, 0.06, 0.32, 1, 0, 1, 1
species18, 1, 0, 0.14, 0.27, 1, 0, 1, 1
species19, 1, 0, 0.06, 0.29, 1, 0, 1, 1
species2, 1, 0, 0.16, 0.57, 1, 0, 1, 1
species20, 1, 0, 0.04, 0.33, 1, 0, 1, 1
species21, 1, 0, 0.02, 1.06, 1, 0, 1, 1
species22, 1, 0, 0.15, 0.08, 1, 0, 1, 1
species23, 1, 0, 0.21, 0.45, 1, 0.01, 1, 1
species24, 1, 0, 0.4, 0.25, 1, 0.01, 1, 1
species25, 1, 0, 0.03, 0.02, 1, 0, 1, 1
species26, 1, 0, 0.34, 0.42, 1, 0, 1, 1
species27, 1, 0, 0.01, 0.71, 1, 0.01, 1, 1
species28, 1, 0, 0.04, 0.24, 1, 0, 1, 1
species3, 1, 0, 0.04, 0.31, 1, 0.01, 1, 1
species4, 1, 0, 0.01, 0.16, 1, 0.01, 1, 1
species5, 1, 0, 0.17, 0.28, 1, 0, 1, 1
species6, 1, 0, 0.85, 0.1, 1, 0, 1, 1
species7, 1, 0, 0.04, 0.03, 1, 0, 1, 1
species8, 1, 0, 0.09, 0.55, 1, 0, 1, 1
species9, 1, 0, 0.11, 0.3, 1, 0, 1, 1
