species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_species0_species3_0, 0.86, 0, 0.26, 0.36, 0.85, 0, 0.86, 0.75
Node_species10_species19_0, 0.36, 0, 0.1, 0.13, 0.35, 0.01, 0.36, 0.33
Node_species12_species0_0, 1, 0, 0.08, 0.27, 0.85, 0, 1, 0.99
Node_species12_species16_0, 0.9, 0, 0.16, 0.48, 0.78, 0, 0.9, 0.8
Node_species12_species20_0, 0.07, 0, 0, 0.05, 0.07, 0.07, 0.07, 0.07
Node_species12_species4_0, 1.01, 0, 0.04, 0.04, 1, 0, 1.01, 0.93
Node_species12_species7_0, 0.57, 0, 0.16, 0.43, 0.52, 0, 0.57, 0.56
Node_species16_species28_0, 0.17, 0, 0.01, 0.04, 0.17, 0.04, 0.17, 0.15
Node_species19_species15_0, 0.92, 0, 0.03, 0.32, 0.91, 0.19, 0.92, 0.86
Node_species20_species21_0, 0.92, 0, 0.05, 0.16, 0.91, 0.01, 0.92, 0.81
Node_species21_species9_0, 0.87, 0, 0.25, 0.17, 0.77, 0.01, 0.87, 0.83
Node_species22_species14_0, 0.8, 0, 0.15, 0.17, 0.79, 0.24, 0.8, 0.56
Node_species22_species24_0, 0.84, 0, 0.12, 0.33, 0.75, 0, 0.84, 0.83
Node_species25_species10_0, 0.63, 0, 0.13, 0.26, 0.61, 0.02, 0.63, 0.47
Node_species26_species18_0, 1.06, 0, 0.04, 0.06, 1, 0, 1.06, 1.05
Node_species27_species23_0, 0.95, 0, 0.07, 0.14, 0.94, 0, 0.95, 0.95
Node_species28_species2_0, 0.41, 0, 0.01, 0.2, 0.39, 0.07, 0.41, 0.29
Node_species3_species1_0, 0.43, 0, 0.14, 0.26, 0.4, 0.01, 0.43, 0.42
Node_species4_species22_0, 0.94, 0, 0.07, 0.57, 0.88, 0.05, 0.94, 0.7
Node_species4_species25_0, 0.57, 0, 0.45, 0.14, 0.55, 0.01, 0.57, 0.57
Node_species4_species6_0, 0.99, 0, 0.09, 0.85, 0.99, 0.01, 0.99, 0.84
Node_species5_species11_0, 0.48, 0, 0.54, 0.4, 0.45, 0, 0.48, 0.42
Node_species6_species13_0, 0.99, 0, 0.04, 0.25, 0.92, 0.01, 0.99, 0.98
Node_species6_species27_0, 0.66, 0, 0.06, 0.4, 0.65, 0.1, 0.66, 0.47
Node_species7_species5_0, 0.85, 0, 0.46, 0.59, 0.81, 0.01, 0.85, 0.6
Node_species8_species12_0, 0.3, 0, 0.02, 0.07, 0.29, 0.05, 0.3, 0.24
Node_species8_species17_0, 0.33, 0, 0.37, 0.22, 0.33, 0, 0.33, 0.27
Node_species8_species26_0, 0.84, 0, 0.82, 0.51, 0.8, 0, 0.84, 0.42
species0, 1, 0, 0.56, 0.38, 1, 0, 1, 1
species1, 1, 0, 0.11, 0.51, 1, 0.01, 1, 1
species10, 1, 0, 0.26, 0.68, 1, 0, 1, 1
species11, 1, 0, 0.14, 0.99, 1, 0, 1, 1
species12, 1, 0, 0.29, 0.35, 1, 0, 1, 1
species13, 1, 0, 0.09, 0.14, 1, 0, 1, 1
species14, 1, 0, 0.04, 0.3, 1, 0, 1, 1
species15, 1, 0, 0.17, 0.73, 1, 0, 1, 1
species16, 1, 0, 0.02, 0.12, 1, 0, 1, 1
species17, 1, 0, 0.21, 0.4, 1, 0.01, 1, 1
species18, 1, 0, 0.08, 0.05, 1, 0, 1, 1
species19, 1, 0, 0.14, 0.31, 1, 0, 1, 1
species2, 1, 0, 0.07, 0.47, 1, 0, 1, 1
species20, 1, 0, 0.49, 0.11, 1, 0, 1, 1
species21, 1, 0, 0.05, 0.88, 1, 0.01, 1, 1
species22, 1, 0, 0.01, 0.1, 1, 0, 1, 1
species23, 1, 0, 0.72, 0.52, 1, 0, 1, 1
species24, 1, 0, 0.11, 0.2, 1, 0, 1, 1
species25, 1, 0, 0.05, 0.18, 1, 0.02, 1, 1
species26, 1, 0, 0, 0.24, 1, 0, 1, 1
species27, 1, 0, 0.04, 0.31, 1, 0, 1, 1
species28, 1, 0, 0.37, 0.17, 1, 0.01, 1, 1
species3, 1, 0, 0.16, 0.27, 1, 0, 1, 1
species4, 1, 0, 0.13, 0.24, 1, 0, 1, 1
species5, 1, 0, 0.07, 0.13, 1, 0, 1, 1
species6, 1, 0, 0.53, 0.45, 1, 0, 1, 1
species7, 1, 0, 0.08, 0.46, 1, 0, 1, 1
species8, 1, 0, 0.05, 0.42, 1, 0.03, 1, 1
species9, 1, 0, 0.06, 0.12, 1, 0, 1, 1
