species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_species0_species3_0, 0.78, 0, 0.28, 0.68, 0.75, 0, 0.78, 0.55
Node_species10_species19_0, 0.89, 0, 0.06, 0.07, 0.88, 0.01, 0.89, 0.85
Node_species12_species0_0, 0.62, 0, 0.07, 0.25, 0.62, 0.26, 0.62, 0.54
Node_species12_species16_0, 0.9, 0, 0.05, 0.07, 0.87, 0, 0.9, 0.82
Node_species12_species20_0, 0.07, 0, 0, 0.08, 0.07, 0.07, 0.07, 0.07
Node_species12_species4_0, 0.7, 0, 0.17, 0.37, 0.65, 0, 0.7, 0.57
Node_species12_species7_0, 0.44, 0, 0.15, 0.32, 0.44, 0, 0.44, 0.4
Node_species16_species28_0, 0.17, 0, 0.01, 0.13, 0.16, 0.01, 0.17, 0.15
Node_species19_species15_0, 0.93, 0, 0, 0.23, 0.93, 0, 0.93, 0.92
Node_species20_species21_0, 0.34, 0, 0.2, 0.18, 0.32, 0, 0.34, 0.29
Node_species21_species9_0, 0.69, 0, 0.21, 0.37, 0.67, 0.02, 0.69, 0.52
Node_species22_species14_0, 0.29, 0, 0.8, 0.27, 0.28, 0, 0.29, 0.21
Node_species22_species24_0, 0.91, 0, 0.23, 0.31, 0.87, 0, 0.91, 0.77
Node_species25_species10_0, 0.38, 0, 0.4, 0.27, 0.36, 0.01, 0.38, 0.37
Node_species26_species18_0, 0.77, 0, 0.16, 0.46, 0.73, 0.01, 0.77, 0.71
Node_species27_species23_0, 0.63, 0, 0.06, 0.39, 0.61, 0, 0.63, 0.6
Node_species28_species2_0, 0.59, 0, 0.04, 0.23, 0.59, 0.21, 0.59, 0.4
Node_species3_species1_0, 1.01, 0, 0.14, 0.31, 1, 0, 1.01, 0.51
Node_species4_species22_0, 0.27, 0, 0.38, 0.25, 0.25, 0.05, 0.27, 0.23
Node_species4_species25_0, 0.23, 0, 0.26, 0.26, 0.23, 0, 0.23, 0.22
Node_species4_species6_0, 0.55, 0, 0.25, 0.3, 0.55, 0.05, 0.55, 0.52
Node_species5_species11_0, 0.63, 0, 0.38, 0.24, 0.62, 0, 0.63, 0.61
Node_species6_species13_0, 0.91, 0, 0.05, 0.36, 0.9, 0.01, 0.91, 0.9
Node_species6_species27_0, 0.91, 0, 0, 0.97, 0.91, 0.1, 0.91, 0.79
Node_species7_species5_0, 0.84, 0, 0.12, 0.23, 0.81, 0, 0.84, 0.83
Node_species8_species12_0, 0.84, 0, 0.04, 0.28, 0.84, 0.09, 0.84, 0.32
Node_species8_species17_0, 0.5, 0, 0.05, 0.18, 0.47, 0.01, 0.5, 0.39
Node_species8_species26_0, 0.69, 0, 0.02, 0.11, 0.69, 0, 0.69, 0.67
species0, 1, 0, 0.09, 1.01, 1, 0.03, 1, 1
species1, 1, 0, 0.11, 0.12, 1, 0, 1, 1
species10, 1, 0, 0.09, 0.97, 1, 0, 1, 1
species11, 1, 0, 0, 0.14, 1, 0, 1, 1
species12, 1, 0, 0.02, 0.05, 1, 0, 1, 1
species13, 1, 0, 0.11, 0.3, 1, 0, 1, 1
species14, 1, 0, 0.03, 0.06, 1, 0, 1, 1
species15, 1, 0, 0.03, 0.09, 1, 0, 1, 1
species16, 1, 0, 0.21, 0.41, 1, 0, 1, 1
species17, 1, 0, 0.03, 0.23, 1, 0, 1, 1
species18, 1, 0, 0.16, 0.28, 1, 0, 1, 1
species19, 1, 0, 0.12, 0.04, 1, 0, 1, 1
species2, 1, 0, 0.07, 0.42, 1, 0, 1, 1
species20, 1, 0, 0.08, 0.63, 1, 0, 1, 1
species21, 1, 0, 0.13, 0.34, 1, 0, 1, 1
species22, 1, 0, 0.1, 0.33, 1, 0, 1, 1
species23, 1, 0, 0.24, 0.46, 1, 0, 1, 1
species24, 1, 0, 0.05, 0.37, 1, 0, 1, 1
species25, 1, 0, 0.25, 0.18, 1, 0, 1, 1
species26, 1, 0, 0.09, 0.4, 1, 0.02, 1, 1
species27, 1, 0, 0.1, 0.27, 1, 0, 1, 1
species28, 1, 0, 0.06, 0.97, 1, 0, 1, 1
species3, 1, 0, 0.05, 0.29, 1, 0, 1, 1
species4, 1, 0, 0.15, 0.42, 1, 0, 1, 1
species5, 1, 0, 0.09, 0.26, 1, 0.01, 1, 1
species6, 1, 0, 0.26, 0.43, 1, 0, 1, 1
species7, 1, 0, 0.75, 0.43, 1, 0.01, 1, 1
species8, 1, 0, 0.27, 0.3, 1, 0.01, 1, 1
species9, 1, 0, 0.12, 0.59, 1, 0.01, 1, 1
