species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_species0_species3_0, 1, 0, 0.07, 0.08, 0.89, 0, 1, 0.99
Node_species10_species19_0, 0.88, 0, 0.07, 0.18, 0.84, 0.14, 0.88, 0.7
Node_species12_species0_0, 0.61, 0, 0.52, 0.39, 0.6, 0, 0.61, 0.48
Node_species12_species16_0, 0.99, 0, 0.01, 0.23, 0.99, 0, 0.99, 0.99
Node_species12_species20_0, 0.35, 0, 0.01, 0.12, 0.35, 0.36, 0.35, 0.35
Node_species12_species4_0, 0.3, 0, 0.37, 0.15, 0.28, 0, 0.3, 0.28
Node_species12_species7_0, 0.67, 0, 0.11, 0.21, 0.6, 0.02, 0.67, 0.59
Node_species16_species28_0, 0.46, 0, 0.02, 0.1, 0.46, 0.02, 0.46, 0.4
Node_species19_species15_0, 1, 0, 0, 0.06, 1, 0, 1, 0.99
Node_species20_species21_0, 0.7, 0, 0.41, 0.35, 0.59, 0, 0.7, 0.67
Node_species21_species9_0, 0.91, 0, 0.14, 0.43, 0.9, 0, 0.91, 0.56
Node_species22_species14_0, 0.82, 0, 0.15, 0.21, 0.8, 0.02, 0.82, 0.81
Node_species22_species24_0, 1.01, 0, 0.02, 0.11, 1, 0, 1.01, 1
Node_species25_species10_0, 0.6, 0, 0.81, 0.19, 0.59, 0, 0.6, 0.33
Node_species26_species18_0, 0.98, 0, 0.15, 0.25, 0.98, 0, 0.98, 0.3
Node_species27_species23_0, 0.47, 0, 0.06, 0.24, 0.41, 0, 0.47, 0.45
Node_species28_species2_0, 0.39, 0, 0.18, 0.22, 0.39, 0.03, 0.39, 0.39
Node_species3_species1_0, 1.01, 0, 0.09, 0.49, 0.93, 0, 1.01, 1.01
Node_species4_species22_0, 0.83, 0, 0.02, 0.19, 0.7, 0, 0.83, 0.78
Node_species4_species25_0, 0.98, 0, 0.25, 0.36, 0.98, 0.01, 0.98, 0.5
Node_species4_species6_0, 0.38, 0, 0.53, 0.22, 0.37, 0, 0.38, 0.36
Node_species5_species11_0, 1.02, 0, 0.05, 0.04, 0.97, 0, 1.02, 1
Node_species6_species13_0, 1, 0, 0.01, 0.72, 1, 0, 1, 0.99
Node_species6_species27_0, 0.97, 0, 0, 0.25, 0.97, 0.13, 0.97, 0.6
Node_species7_species5_0, 1, 0, 0.02, 0.73, 1, 0, 1, 1
Node_species8_species12_0, 0.56, 0, 0.01, 0.13, 0.56, 0.16, 0.56, 0.54
Node_species8_species17_0, 0.98, 0, 0.01, 0.12, 0.97, 0, 0.98, 0.98
Node_species8_species26_0, 0.83, 0, 0.06, 0.15, 0.81, 0, 0.83, 0.69
species0, 1, 0, 0.02, 0.25, 1, 0, 1, 1
species1, 1, 0, 0.92, 0.05, 1, 0, 1, 1
species10, 1, 0, 0.07, 0.12, 1, 0, 1, 1
species11, 1, 0, 0.01, 0.07, 1, 0, 1, 1
species12, 1, 0, 0.13, 0.07, 1, 0, 1, 1
species13, 1, 0, 0.01, 0.03, 1, 0.01, 1, 1
species14, 1, 0, 0.03, 0.37, 1, 0.01, 1, 1
species15, 1, 0, 0, 0.09, 1, 0.01, 1, 1
species16, 1, 0, 0.18, 0.09, 1, 0, 1, 1
species17, 1, 0, 0.28, 0.47, 1, 0.05, 1, 1
species18, 1, 0, 0.02, 0.06, 1, 0, 1, 1
species19, 1, 0, 0, 0.02, 1, 0.01, 1, 1
species2, 1, 0, 0.42, 0.1, 1, 0, 1, 1
species20, 1, 0, 0.49, 0.37, 1, 0, 1, 1
species21, 1, 0, 0.11, 0.08, 1, 0, 1, 1
species22, 1, 0, 0.47, 0.28, 1, 0, 1, 1
species23, 1, 0, 0.01, 0.84, 1, 0, 1, 1
species24, 1, 0, 0.05, 0.22, 1, 0, 1, 1
species25, 1, 0, 0.03, 0.27, 1, 0, 1, 1
species26, 1, 0, 0.3, 0.05, 1, 0, 1, 1
species27, 1, 0, 0.9, 0.07, 1, 0, 1, 1
species28, 1, 0, 0.09, 0.51, 1, 0, 1, 1
species3, 1, 0, 0.06, 0.46, 1, 0, 1, 1
species4, 1, 0, 0.01, 0.42, 1, 0.01, 1, 1
species5, 1, 0, 0.23, 0.44, 1, 0, 1, 1
species6, 1, 0, 0.04, 0.7, 1, 0, 1, 1
species7, 1, 0, 0.01, 0.4, 1, 0, 1, 1
species8, 1, 0, 0.02, 0.82, 1, 0, 1, 1
species9, 1, 0, 0.09, 0.81, 1, 0.01, 1, 1
