species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_species0_species3_0, 0.96, 0, 0.31, 0.33, 0.96, 0, 0.96, 0.37
Node_species10_species19_0, 0.73, 0, 0.06, 0.42, 0.73, 0.06, 0.73, 0.72
Node_species12_species0_0, 1.08, 0, 0.13, 0.15, 0.8, 0.01, 1.08, 1
Node_species12_species16_0, 1, 0, 0.05, 0.19, 0.96, 0.01, 1, 0.96
Node_species12_species20_0, 0.04, 0, 0, 0.01, 0.04, 0.04, 0.04, 0.04
Node_species12_species4_0, 0.93, 0, 0.04, 0.05, 0.91, 0, 0.93, 0.63
Node_species12_species7_0, 0.98, 0, 0.44, 0.22, 0.95, 0, 0.98, 0.89
Node_species16_species28_0, 0.24, 0, 0.01, 0.07, 0.24, 0.07, 0.24, 0.22
Node_species19_species15_0, 0.96, 0, 0.05, 0.36, 0.96, 0.01, 0.96, 0.9
Node_species20_species21_0, 0.75, 0, 0.29, 0.46, 0.68, 0.04, 0.75, 0.73
Node_species21_species9_0, 0.51, 0, 0.37, 0.14, 0.48, 0, 0.51, 0.43
Node_species22_species14_0, 0.88, 0, 0.04, 0.34, 0.86, 0.02, 0.88, 0.81
Node_species22_species24_0, 1.09, 0, 0.1, 0.24, 0.91, 0, 1.09, 0.98
Node_species25_species10_0, 1.3, 0, 0.05, 0.14, 0.9, 0, 1.3, 1.27
Node_species26_species18_0, 1, 0, 0.07, 0.3, 0.98, 0, 1, 0.93
Node_species27_species23_0, 0.63, 0, 0.4, 0.11, 0.63, 0, 0.63, 0.59
Node_species28_species2_0, 0.57, 0, 0.15, 0.23, 0.56, 0.41, 0.57, 0.54
Node_species3_species1_0, 0.88, 0, 0.24, 0.2, 0.78, 0, 0.88, 0.87
Node_species4_species22_0, 0.92, 0, 0.13, 0.09, 0.89, 0, 0.92, 0.89
Node_species4_species25_0, 0.85, 0, 0.16, 0.45, 0.83, 0.03, 0.85, 0.7
Node_species4_species6_0, 0.94, 0, 0.23, 0.09, 0.74, 0, 0.94, 0.92
Node_species5_species11_0, 1.28, 0, 0.26, 0.64, 0.89, 0, 1.28, 1
Node_species6_species13_0, 0.9, 0, 0.08, 0.28, 0.9, 0.01, 0.9, 0.9
Node_species6_species27_0, 0.92, 0, 0, 0.31, 0.91, 0.18, 0.92, 0.84
Node_species7_species5_0, 0.96, 0, 0.06, 0.15, 0.93, 0.01, 0.96, 0.89
Node_species8_species12_0, 0.68, 0, 0, 0.16, 0.68, 0.01, 0.68, 0.2
Node_species8_species17_0, 0.99, 0, 0.08, 0.21, 0.93, 0.02, 0.99, 0.9
Node_species8_species26_0, 0.95, 0, 0.19, 0.11, 0.79, 0, 0.95, 0.92
species0, 1, 0, 0.13, 0.09, 1, 0, 1, 1
species1, 1, 0, 0.13, 0.15, 1, 0, 1, 1
species10, 1, 0, 0.31, 0.33, 1, 0, 1, 1
species11, 1, 0, 0.01, 0.04, 1, 0, 1, 1
species12, 1, 0, 0.48, 0.27, 1, 0, 1, 1
species13, 1, 0, 0.5, 0.57, 1, 0, 1, 1
species14, 1, 0, 0.03, 0.51, 1, 0, 1, 1
species15, 1, 0, 0.04, 0.58, 1, 0, 1, 1
species16, 1, 0, 0.04, 0.07, 1, 0, 1, 1
species17, 1, 0, 0.35, 0.45, 1, 0, 1, 1
species18, 1, 0, 0.02, 0, 1, 0, 1, 1
species19, 1, 0, 0.05, 0.56, 1, 0, 1, 1
species2, 1, 0, 0.1, 0.16, 1, 0, 1, 1
species20, 1, 0, 0.07, 0.08, 1, 0, 1, 1
species21, 1, 0, 0.01, 0.04, 1, 0, 1, 1
species22, 1, 0, 0.58, 0.21, 1, 0.04, 1, 1
species23, 1, 0, 0.23, 0.76, 1, 0, 1, 1
species24, 1, 0, 0.18, 0.05, 1, 0, 1, 1
species25, 1, 0, 0.81, 0.14, 1, 0, 1, 1
species26, 1, 0, 0.58, 0.37, 1, 0.03, 1, 1
species27, 1, 0, 0.02, 0.33, 1, 0, 1, 1
species28, 1, 0, 0.72, 0.31, 1, 0, 1, 1
species3, 1, 0, 0.78, 0.49, 1, 0, 1, 1
species4, 1, 0, 0.08, 0.19, 1, 0, 1, 1
species5, 1, 0, 0.04, 0.07, 1, 0, 1, 1
species6, 1, 0, 0.15, 0.76, 1, 0, 1, 1
species7, 1, 0, 0.41, 0.49, 1, 0, 1, 1
species8, 1, 0, 0.13, 0.38, 1, 0, 1, 1
species9, 1, 0, 0.02, 0.17, 1, 0, 1, 1
