species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_species0_species3_0, 0.23, 0, 0.92, 0.06, 0.22, 0, 0.23, 0.23
Node_species10_species19_0, 0.54, 0, 0.19, 0.41, 0.53, 0.02, 0.54, 0.51
Node_species12_species0_0, 1.01, 0, 0.25, 0.49, 0.99, 0, 1.01, 0.9
Node_species12_species16_0, 0.99, 0, 0.04, 0.06, 0.96, 0.01, 0.99, 0.99
Node_species12_species20_0, 0.22, 0, 0.01, 0.04, 0.22, 0.23, 0.22, 0.22
Node_species12_species4_0, 1.01, 0, 0.08, 0.14, 0.99, 0.01, 1.01, 0.99
Node_species12_species7_0, 1.01, 0, 0.15, 0.24, 0.9, 0, 1.01, 0.92
Node_species16_species28_0, 0.6, 0, 0, 0.12, 0.6, 0.21, 0.6, 0.43
Node_species19_species15_0, 0.64, 0, 0.07, 0.13, 0.6, 0.02, 0.64, 0.62
Node_species20_species21_0, 0.28, 0, 0.22, 0.11, 0.26, 0.01, 0.28, 0.27
Node_species21_species9_0, 0.98, 0, 0.11, 0.13, 0.94, 0, 0.98, 0.98
Node_species22_species14_0, 0.36, 0, 0.41, 0.4, 0.34, 0, 0.36, 0.3
Node_species22_species24_0, 0.89, 0, 0.67, 0.89, 0.87, 0.01, 0.89, 0.48
Node_species25_species10_0, 1.02, 0, 0.06, 0.15, 0.9, 0.01, 1.02, 0.93
Node_species26_species18_0, 1.07, 0, 0.03, 0.01, 0.99, 0, 1.07, 1.06
Node_species27_species23_0, 1.03, 0, 0.03, 0.41, 1, 0, 1.03, 1.02
Node_species28_species2_0, 0.7, 0, 0.02, 0.21, 0.69, 0.03, 0.7, 0.66
Node_species3_species1_0, 0.98, 0, 0.23, 0.11, 0.98, 0, 0.98, 0.09
Node_species4_species22_0, 1.07, 0, 0.11, 0.65, 0.86, 0, 1.07, 1.03
Node_species4_species25_0, 0.25, 0, 0.15, 0.11, 0.24, 0.02, 0.25, 0.23
Node_species4_species6_0, 1, 0, 0.02, 1.09, 1, 0.01, 1, 1
Node_species5_species11_0, 0.93, 0, 0.03, 0.11, 0.9, 0, 0.93, 0.89
Node_species6_species13_0, 0.96, 0, 0.08, 0.18, 0.96, 0.27, 0.96, 0.84
Node_species6_species27_0, 0.59, 0, 0.32, 0.79, 0.59, 0, 0.59, 0.39
Node_species7_species5_0, 0.99, 0, 0.03, 0.01, 0.99, 0.01, 0.99, 0.95
Node_species8_species12_0, 0.56, 0, 0.05, 0.09, 0.55, 0.06, 0.56, 0.38
Node_species8_species17_0, 0.29, 0, 0.17, 0.12, 0.26, 0, 0.29, 0.25
Node_species8_species26_0, 0.99, 0, 0.06, 0.12, 0.99, 0, 0.99, 0.96
species0, 1, 0, 0.06, 0.04, 1, 0, 1, 1
species1, 1, 0, 0, 0, 1, 0, 1, 1
species10, 1, 0, 0.05, 0.07, 1, 0, 1, 1
species11, 1, 0, 0.57, 0.56, 1, 0.01, 1, 1
species12, 1, 0, 0.08, 0.78, 1, 0, 1, 1
species13, 1, 0, 0, 0.02, 1, 0, 1, 1
species14, 1, 0, 0.03, 0.33, 1, 0, 1, 1
species15, 1, 0, 0.01, 0.1, 1, 0, 1, 1
species16, 1, 0, 0.05, 0.05, 1, 0, 1, 1
species17, 1, 0, 0.04, 0.4, 1, 0, 1, 1
species18, 1, 0, 0.13, 0.05, 1, 0, 1, 1
species19, 1, 0, 0.12, 0.3, 1, 0.05, 1, 1
species2, 1, 0, 0.04, 0.29, 1, 0, 1, 1
species20, 1, 0, 0.12, 0.07, 1, 0, 1, 1
species21, 1, 0, 0.14, 0.05, 1, 0, 1, 1
species22, 1, 0, 0.11, 0.14, 1, 0, 1, 1
species23, 1, 0, 0.91, 0.04, 1, 0, 1, 1
species24, 1, 0, 0, 0.05, 1, 0, 1, 1
species25, 1, 0, 0.77, 0.32, 1, 0, 1, 1
species26, 1, 0, 0.05, 1.23, 1, 0, 1, 1
species27, 1, 0, 0.1, 0.08, 1, 0, 1, 1
species28, 1, 0, 0, 0.02, 1, 0, 1, 1
species3, 1, 0, 0.04, 0.94, 1, 0, 1, 1
species4, 1, 0, 0.01, 0.95, 1, 0, 1, 1
species5, 1, 0, 0.83, 0.31, 1, 0, 1, 1
species6, 1, 0, 0.05, 0.03, 1, 0, 1, 1
species7, 1, 0, 0, 0.02, 1, 0, 1, 1
species8, 1, 0, 0.07, 0.4, 1, 0.01, 1, 1
species9, 1, 0, 0.04, 0.72, 1, 0, 1, 1
