species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_species0_species3_0, 0.87, 0, 0.11, 0.39, 0.78, 0, 0.87, 0.87
Node_species10_species19_0, 0.41, 0, 0.14, 0.12, 0.41, 0, 0.41, 0.35
Node_species12_species0_0, 0.7, 0, 0.16, 0.23, 0.67, 0.01, 0.7, 0.65
Node_species12_species16_0, 0.98, 0, 0.03, 0.26, 0.95, 0, 0.98, 0.98
Node_species12_species20_0, 0.02, 0, 0, 0, 0.02, 0.02, 0.02, 0.02
Node_species12_species4_0, 0.96, 0, 0.41, 0.32, 0.94, 0, 0.96, 0.49
Node_species12_species7_0, 0.82, 0, 0.12, 0.29, 0.74, 0.01, 0.82, 0.81
Node_species16_species28_0, 0.17, 0, 0.01, 0.1, 0.17, 0.05, 0.17, 0.1
Node_species19_species15_0, 0.66, 0, 0.04, 0.71, 0.65, 0.28, 0.66, 0.59
Node_species20_species21_0, 0.43, 0, 0.18, 0.19, 0.41, 0, 0.43, 0.35
Node_species21_species9_0, 0.85, 0, 0.13, 0.2, 0.83, 0, 0.85, 0.66
Node_species22_species14_0, 0.35, 0, 0.24, 0.04, 0.32, 0.01, 0.35, 0.32
Node_species22_species24_0, 0.72, 0, 0.36, 0.43, 0.67, 0, 0.72, 0.72
Node_species25_species10_0, 0.87, 0, 0.1, 0.12, 0.83, 0.01, 0.87, 0.86
Node_species26_species18_0, 0.98, 0, 0.04, 0.68, 0.98, 0, 0.98, 0.93
Node_species27_species23_0, 0.62, 0, 0.07, 0.09, 0.55, 0, 0.62, 0.6
Node_species28_species2_0, 0.18, 0, 0.03, 0.05, 0.17, 0.03, 0.18, 0.18
Node_species3_species1_0, 0.41, 0, 0.22, 0.27, 0.4, 0, 0.41, 0.25
Node_species4_species22_0, 0.68, 0, 0.67, 0.74, 0.62, 0.04, 0.68, 0.39
Node_species4_species25_0, 0.28, 0, 0.37, 0.19, 0.27, 0, 0.28, 0.22
Node_species4_species6_0, 0.52, 0, 0.23, 0.2, 0.52, 0.06, 0.52, 0.25
Node_species5_species11_0, 0.93, 0, 0.25, 0.5, 0.86, 0.01, 0.93, 0.56
Node_species6_species13_0, 0.77, 0, 0.01, 0.14, 0.77, 0.05, 0.77, 0.73
Node_species6_species27_0, 0.32, 0, 0.02, 0.12, 0.32, 0.08, 0.32, 0.29
Node_species7_species5_0, 0.97, 0, 0.04, 0.34, 0.97, 0.17, 0.97, 0.93
Node_species8_species12_0, 0.39, 0, 0.01, 0.08, 0.39, 0, 0.39, 0.1
Node_species8_species17_0, 0.34, 0, 0.18, 0.19, 0.29, 0, 0.34, 0.28
Node_species8_species26_0, 0.29, 0, 0.61, 0.32, 0.27, 0.02, 0.29, 0.28
species0, 1, 0, 0.04, 0.11, 1, 0, 1, 1
species1, 1, 0, 0.05, 0.44, 1, 0.01, 1, 1
species10, 1, 0, 0.19, 0.79, 1, 0, 1, 1
species11, 1, 0, 0.03, 0.2, 1, 0, 1, 1
species12, 1, 0, 0.12, 0.13, 1, 0, 1, 1
species13, 1, 0, 0.05, 0.61, 1, 0.01, 1, 1
species14, 1, 0, 0, 0.45, 1, 0.02, 1, 1
species15, 1, 0, 0.06, 0.35, 1, 0, 1, 1
species16, 1, 0, 0.08, 0.37, 1, 0.01, 1, 1
species17, 1, 0, 0.05, 0.24, 1, 0, 1, 1
species18, 1, 0, 0.04, 1.17, 1, 0, 1, 1
species19, 1, 0, 0.06, 0.44, 1, 0.01, 1, 1
species2, 1, 0, 0.17, 0.08, 1, 0.04, 1, 1
species20, 1, 0, 0.09, 0.27, 1, 0.01, 1, 1
species21, 1, 0, 0.75, 0.14, 1, 0, 1, 1
species22, 1, 0, 0.05, 0.25, 1, 0, 1, 1
species23, 1, 0, 0.01, 0.62, 1, 0, 1, 1
species24, 1, 0, 0.06, 0.16, 1, 0, 1, 1
species25, 1, 0, 0.05, 0.75, 1, 0, 1, 1
species26, 1, 0, 0.03, 0.46, 1, 0, 1, 1
species27, 1, 0, 0.13, 0.44, 1, 0, 1, 1
species28, 1, 0, 0.19, 0.56, 1, 0, 1, 1
species3, 1, 0, 0.05, 0.34, 1, 0.02, 1, 1
species4, 1, 0, 0.02, 0.27, 1, 0.01, 1, 1
species5, 1, 0, 0.09, 0.54, 1, 0, 1, 1
species6, 1, 0, 0.05, 0.06, 1, 0, 1, 1
species7, 1, 0, 0.07, 0.84, 1, 0, 1, 1
species8, 1, 0, 0.16, 0.32, 1, 0, 1, 1
species9, 1, 0, 0.19, 0.51, 1, 0.01, 1, 1
