species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons
Node_species0_species3_0, 1.03, 0, 0.02, 0.03, 0.98, 0, 1.03, 1.02
Node_species10_species19_0, 0.97, 0, 0.02, 0.15, 0.97, 0, 0.97, 0.82
Node_species12_species0_0, 0.71, 0, 0.6, 0.58, 0.68, 0, 0.71, 0.59
Node_species12_species16_0, 1.04, 0, 0.02, 0.02, 0.99, 0.03, 1.04, 1.02
Node_species12_species20_0, 0.01, 0, 0, 0, 0.01, 0.01, 0.01, 0.01
Node_species12_species4_0, 0.98, 0, 0.07, 0.14, 0.98, 0, 0.98, 0.86
Node_species12_species7_0, 0.98, 0, 0.05, 0.81, 0.97, 0, 0.98, 0.96
Node_species16_species28_0, 0.18, 0, 0.01, 0.05, 0.15, 0.05, 0.18, 0.17
Node_species19_species15_0, 0.52, 0, 0.09, 0.26, 0.52, 0.03, 0.52, 0.51
Node_species20_species21_0, 0.99, 0, 0.05, 0.87, 0.98, 0, 0.99, 0.99
Node_species21_species9_0, 0.99, 0, 0.05, 0.37, 0.99, 0, 0.99, 0.91
Node_species22_species14_0, 1, 0, 0.02, 0.31, 1, 0, 1, 0.97
Node_species22_species24_0, 0.85, 0, 0.55, 0.65, 0.84, 0.01, 0.85, 0.59
Node_species25_species10_0, 0.98, 0, 0.01, 0.23, 0.98, 0.01, 0.98, 0.84
Node_species26_species18_0, 1, 0, 0.01, 0.01, 1, 0, 1, 0.98
Node_species27_species23_0, 0.93, 0, 0.12, 0.19, 0.91, 0, 0.93, 0.81
Node_species28_species2_0, 0.34, 0, 0.13, 0.1, 0.33, 0.25, 0.34, 0.33
Node_species3_species1_0, 0.31, 0, 0.19, 0.02, 0.27, 0.01, 0.31, 0.31
Node_species4_species22_0, 1.03, 0, 0.12, 0.72, 0.95, 0.01, 1.03, 1.01
Node_species4_species25_0, 1.02, 0, 0.02, 0, 0.99, 0, 1.02, 1
Node_species4_species6_0, 0.85, 0, 0.19, 0.08, 0.79, 0, 0.85, 0.82
Node_species5_species11_0, 0.79, 0, 0.09, 0.36, 0.78, 0, 0.79, 0.79
Node_species6_species13_0, 0.42, 0, 0.22, 0.24, 0.4, 0.02, 0.42, 0.42
Node_species6_species27_0, 0.56, 0, 0.02, 0.28, 0.54, 0.15, 0.56, 0.52
Node_species7_species5_0, 0.97, 0, 0.07, 0.19, 0.92, 0.36, 0.97, 0.74
Node_species8_species12_0, 0.78, 0, 0.02, 0.07, 0.78, 0, 0.78, 0.11
Node_species8_species17_0, 0.35, 0, 0.84, 0.08, 0.34, 0.02, 0.35, 0.34
Node_species8_species26_0, 0.96, 0, 0.04, 0.19, 0.92, 0, 0.96, 0.81
species0, 1, 0, 0.08, 0.1, 1, 0, 1, 1
species1, 1, 0, 0.13, 0.01, 1, 0, 1, 1
species10, 1, 0, 0.02, 0.21, 1, 0, 1, 1
species11, 1, 0, 0.01, 0.35, 1, 0, 1, 1
species12, 1, 0, 0.71, 0.46, 1, 0, 1, 1
species13, 1, 0, 0.36, 0.26, 1, 0, 1, 1
species14, 1, 0, 0.02, 0.4, 1, 0.01, 1, 1
species15, 1, 0, 0.04, 0.7, 1, 0, 1, 1
species16, 1, 0, 0.01, 0.01, 1, 0, 1, 1
species17, 1, 0, 0.01, 0.26, 1, 0, 1, 1
species18, 1, 0, 0, 0.02, 1, 0, 1, 1
species19, 1, 0, 0.04, 0.01, 1, 0, 1, 1
species2, 1, 0, 0.04, 0.19, 1, 0, 1, 1
species20, 1, 0, 0.05, 0.63, 1, 0, 1, 1
species21, 1, 0, 0.16, 0.1, 1, 0, 1, 1
species22, 1, 0, 0.13, 0.06, 1, 0, 1, 1
species23, 1, 0, 0, 0, 1, 0, 1, 1
species24, 1, 0, 0.05, 0.12, 1, 0, 1, 1
species25, 1, 0, 0.02, 0.38, 1, 0, 1, 1
species26, 1, 0, 0.76, 0.39, 1, 0, 1, 1
species27, 1, 0, 0.16, 0.13, 1, 0, 1, 1
species28, 1, 0, 0.21, 0.06, 1, 0, 1, 1
species3, 1, 0, 0.15, 0.25, 1, 0, 1, 1
species4, 1, 0, 0.06, 0.06, 1, 0.01, 1, 1
species5, 1, 0, 0.38, 0.67, 1, 0, 1, 1
species6, 1, 0, 0.07, 0.05, 1, 0, 1, 1
species7, 1, 0, 0.06, 0.04, 1, 0.01, 1, 1
species8, 1, 0, 0.03, 0.41, 1, 0.01, 1, 1
species9, 1, 0, 0, 0.53, 1, 0, 1, 1
