TIME	EVENT	NODES
0	O	Root
0.0850467244791347	D	Root;1;Root;2;Root;3
0.5651162994026079	S	Root;2;n1;4;n2;5
0.5651162994026079	S	Root;3;n1;6;n2;7
0.8705487089928268	S	n2;5;n3;8;n4;9
0.8705487089928268	S	n2;7;n3;10;n4;11
0.9136120164185375	S	n3;8;n5;12;n6;13
0.9136120164185375	S	n3;10;n5;14;n6;15
1.314811227378132	P	n4;9
1.58930952888408	L	n1;4
1.8813788388702282	S	n6;13;n7;16;n8;17
1.8813788388702282	S	n6;15;n7;18;n8;19
1.911993857028475	S	n7;16;n9;20;n10;21
1.911993857028475	S	n7;18;n9;22;n10;23
1.923694679252978	S	n8;17;n11;24;n12;25
1.923694679252978	S	n8;19;n11;26;n12;27
1.9854867880629592	S	n11;24;n13;28;n14;29
1.9854867880629592	S	n11;26;n13;30;n14;31
2.225668125700548	S	n13;28;n15;32;n16;33
2.225668125700548	S	n13;30;n15;34;n16;35
2.406050370324076	S	n5;12;n17;36;n18;37
2.406050370324076	S	n5;14;n17;38;n18;39
2.457034272634687	P	n4;9
2.502910948502324	S	n14;29;n19;40;n20;41
2.502910948502324	S	n14;31;n19;42;n20;43
2.5049459605910966	L	n15;32
2.5049459605910966	T	n18;37;n18;44;n15;45
2.692185102669776	S	n1;6;n21;46;n22;47
2.7738261554119075	S	n4;11;n23;48;n24;49
2.7738261554119075	S	n4;9;n23;50;n24;51
2.7909555608888947	S	n21;46;n25;52;n26;53
2.9028419465601423	S	n15;45;n27;54;n28;55
2.9028419465601423	S	n15;34;n27;56;n28;57
2.9102591985123394	S	n22;47;n29;58;n30;59
2.9132270383383316	L	n26;53
2.9411721024977977	S	n9;20;n31;60;n32;61
2.9411721024977977	S	n9;22;n31;62;n32;63
2.9729747093130627	S	n28;55;n33;64;n34;65
2.9729747093130627	S	n28;57;n33;66;n34;67
3.0250122621232984	S	n18;44;n35;68;n36;69
3.0250122621232984	S	n18;39;n35;70;n36;71
3.0645693707283965	S	n32;61;n37;72;n38;73
3.0645693707283965	S	n32;63;n37;74;n38;75
3.146229668452691	F	n17;36
3.146229668452691	F	n17;38
3.146229668452691	F	n16;33
3.146229668452691	F	n16;35
3.146229668452691	F	n24;49
3.146229668452691	F	n24;51
3.146229668452691	F	n20;41
3.146229668452691	F	n20;43
3.146229668452691	F	n30;59
3.146229668452691	F	n35;68
3.146229668452691	F	n35;70
3.146229668452691	F	n10;21
3.146229668452691	F	n10;23
3.146229668452691	F	n34;65
3.146229668452691	F	n34;67
3.146229668452691	F	n37;72
3.146229668452691	F	n37;74
3.146229668452691	F	n31;60
3.146229668452691	F	n31;62
3.146229668452691	F	n19;40
3.146229668452691	F	n19;42
3.146229668452691	F	n38;73
3.146229668452691	F	n38;75
3.146229668452691	F	n36;69
3.146229668452691	F	n36;71
3.146229668452691	F	n29;58
3.146229668452691	F	n27;54
3.146229668452691	F	n27;56
3.146229668452691	F	n12;25
3.146229668452691	F	n12;27
3.146229668452691	F	n23;48
3.146229668452691	F	n23;50
3.146229668452691	F	n25;52
3.146229668452691	F	n33;64
3.146229668452691	F	n33;66
