TIME	EVENT	NODES
0	O	Root
0.5651162994026079	S	Root;1;n1;2;n2;3
0.8705487089928268	S	n2;3;n3;4;n4;5
0.9136120164185375	S	n3;4;n5;6;n6;7
1.0423597552718822	L	n1;2
1.8813788388702282	S	n6;7;n7;8;n8;9
1.911993857028475	S	n7;8;n9;10;n10;11
1.923694679252978	S	n8;9;n11;12;n12;13
1.9854867880629592	S	n11;12;n13;14;n14;15
2.1383754863864026	P	n4;5
2.1629074375057047	P	n14;15
2.225668125700548	S	n13;14;n15;16;n16;17
2.406050370324076	S	n5;6;n17;18;n18;19
2.502910948502324	S	n14;15;n19;20;n20;21
2.641949162968019	L	n15;16
2.6530459244737163	L	n19;20
2.7738261554119075	S	n4;5;n23;22;n24;23
2.8128426285674473	T	n16;17;n16;24;n10;25
2.9411721024977977	S	n9;10;n31;26;n32;27
3.0250122621232984	S	n18;19;n35;28;n36;29
3.0645693707283965	S	n32;27;n37;30;n38;31
3.146229668452691	F	n17;18
3.146229668452691	F	n16;24
3.146229668452691	F	n24;23
3.146229668452691	F	n20;21
3.146229668452691	F	n35;28
3.146229668452691	F	n10;11
3.146229668452691	F	n10;25
3.146229668452691	F	n37;30
3.146229668452691	F	n31;26
3.146229668452691	F	n38;31
3.146229668452691	F	n36;29
3.146229668452691	F	n12;13
3.146229668452691	F	n23;22
