TIME	EVENT	NODES
0	O	Root
0.5651162994026079	S	Root;1;n1;2;n2;3
0.6001201228112953	L	n1;2
0.8705487089928268	S	n2;3;n3;4;n4;5
0.9136120164185375	S	n3;4;n5;6;n6;7
1.8813788388702282	S	n6;7;n7;8;n8;9
1.911993857028475	S	n7;8;n9;10;n10;11
1.923694679252978	S	n8;9;n11;12;n12;13
1.9854867880629592	S	n11;12;n13;14;n14;15
2.1557116379545103	L	n9;10
2.1557116379545103	T	n12;13;n12;16;n9;17
2.225668125700548	S	n13;14;n15;18;n16;19
2.406050370324076	S	n5;6;n17;20;n18;21
2.502910948502324	S	n14;15;n19;22;n20;23
2.5896671173242813	D	n18;21;n18;24;n18;25
2.7738261554119075	S	n4;5;n23;26;n24;27
2.853460536827387	P	n18;24
2.853460536827387	P	n18;25
2.9028419465601423	S	n15;18;n27;28;n28;29
2.9411721024977977	S	n9;17;n31;30;n32;31
2.942634661290966	T	n10;11;n10;32;n12;33
2.951722045906211	L	n19;22
2.951722045906211	T	n28;29;n28;34;n19;35
2.9729747093130627	S	n28;34;n33;36;n34;37
3.0250122621232984	S	n18;24;n35;38;n36;39
3.0250122621232984	S	n18;25;n35;40;n36;41
3.0645693707283965	S	n32;31;n37;42;n38;43
3.0985102645919733	T	n16;19;n16;44;n35;45
3.146229668452691	F	n17;20
3.146229668452691	F	n16;44
3.146229668452691	F	n24;27
3.146229668452691	F	n20;23
3.146229668452691	F	n35;38
3.146229668452691	F	n35;40
3.146229668452691	F	n35;45
3.146229668452691	F	n10;32
3.146229668452691	F	n34;37
3.146229668452691	F	n37;42
3.146229668452691	F	n31;30
3.146229668452691	F	n19;35
3.146229668452691	F	n38;43
3.146229668452691	F	n36;39
3.146229668452691	F	n36;41
3.146229668452691	F	n27;28
3.146229668452691	F	n12;16
3.146229668452691	F	n12;33
3.146229668452691	F	n23;26
3.146229668452691	F	n33;36
