TIME	EVENT	NODES
0	O	Root
0.5651162994026079	S	Root;1;n1;2;n2;3
0.8705487089928268	S	n2;3;n3;4;n4;5
0.9136120164185375	S	n3;4;n5;6;n6;7
1.0358971138695519	L	n6;7
1.0358971138695519	T	n4;5;n4;8;n6;9
1.8813788388702282	S	n6;9;n7;10;n8;11
1.911993857028475	S	n7;10;n9;12;n10;13
1.923694679252978	S	n8;11;n11;14;n12;15
1.9854867880629592	S	n11;14;n13;16;n14;17
2.225668125700548	S	n13;16;n15;18;n16;19
2.3822203044122365	P	n12;15
2.406050370324076	S	n5;6;n17;20;n18;21
2.502910948502324	S	n14;17;n19;22;n20;23
2.692185102669776	S	n1;2;n21;24;n22;25
2.7155173886454014	L	n10;13
2.7155173886454014	T	n17;20;n17;26;n10;27
2.7738261554119075	S	n4;8;n23;28;n24;29
2.7909555608888947	S	n21;24;n25;30;n26;31
2.9028419465601423	S	n15;18;n27;32;n28;33
2.9102591985123394	S	n22;25;n29;34;n30;35
2.9411721024977977	S	n9;12;n31;36;n32;37
2.9729747093130627	S	n28;33;n33;38;n34;39
3.0250122621232984	S	n18;21;n35;40;n36;41
3.0645693707283965	S	n32;37;n37;42;n38;43
3.146229668452691	F	n17;26
3.146229668452691	F	n16;19
3.146229668452691	F	n24;29
3.146229668452691	F	n20;23
3.146229668452691	F	n30;35
3.146229668452691	F	n35;40
3.146229668452691	F	n10;27
3.146229668452691	F	n34;39
3.146229668452691	F	n37;42
3.146229668452691	F	n31;36
3.146229668452691	F	n19;22
3.146229668452691	F	n38;43
3.146229668452691	F	n36;41
3.146229668452691	F	n26;31
3.146229668452691	F	n29;34
3.146229668452691	F	n27;32
3.146229668452691	F	n12;15
3.146229668452691	F	n23;28
3.146229668452691	F	n25;30
3.146229668452691	F	n33;38
