TIME	EVENT	NODES
0.5344165046724999	O	Root
0.5651162994026079	S	Root;1;n1;2;n2;3
0.5789357514310316	L	n1;2
0.5789357514310316	T	n2;3;n2;4;n1;5
0.8705487089928268	S	n2;4;n3;6;n4;7
0.9136120164185375	S	n3;6;n5;8;n6;9
1.7112863222349468	L	n1;5
1.8813788388702282	S	n6;9;n7;10;n8;11
1.911993857028475	S	n7;10;n9;12;n10;13
1.923694679252978	S	n8;11;n11;14;n12;15
1.9854867880629592	S	n11;14;n13;16;n14;17
2.0882139054262367	P	n14;17
2.225668125700548	S	n13;16;n15;18;n16;19
2.3560098320134357	D	n16;19;n16;20;n16;21
2.406050370324076	S	n5;8;n17;22;n18;23
2.4951372545631783	D	n12;15;n12;24;n12;25
2.502910948502324	S	n14;17;n19;26;n20;27
2.7738261554119075	S	n4;7;n23;28;n24;29
2.8641157591311575	P	n16;21
2.9028419465601423	S	n15;18;n27;30;n28;31
2.9411721024977977	S	n9;12;n31;32;n32;33
2.9729747093130627	S	n28;31;n33;34;n34;35
3.0250122621232984	S	n18;23;n35;36;n36;37
3.0645693707283965	S	n32;33;n37;38;n38;39
3.0754833706904807	D	n10;13;n10;40;n10;41
3.146229668452691	F	n17;22
3.146229668452691	F	n16;20
3.146229668452691	F	n16;21
3.146229668452691	F	n24;29
3.146229668452691	F	n20;27
3.146229668452691	F	n35;36
3.146229668452691	F	n10;40
3.146229668452691	F	n10;41
3.146229668452691	F	n34;35
3.146229668452691	F	n37;38
3.146229668452691	F	n31;32
3.146229668452691	F	n19;26
3.146229668452691	F	n38;39
3.146229668452691	F	n36;37
3.146229668452691	F	n27;30
3.146229668452691	F	n12;24
3.146229668452691	F	n12;25
3.146229668452691	F	n23;28
3.146229668452691	F	n33;34
