TIME	EVENT	NODES
0	O	Root
0.5651162994026079	S	Root;1;n1;2;n2;3
0.8705487089928268	S	n2;3;n3;4;n4;5
0.9136120164185375	S	n3;4;n5;6;n6;7
1.4880853285779814	L	n6;7
1.4880853285779814	T	n4;5;n4;8;n6;9
1.8813788388702282	S	n6;9;n7;10;n8;11
1.911993857028475	S	n7;10;n9;12;n10;13
1.923694679252978	S	n8;11;n11;14;n12;15
1.9854867880629592	S	n11;14;n13;16;n14;17
2.0773826999352663	L	n1;2
2.225668125700548	S	n13;16;n15;18;n16;19
2.406050370324076	S	n5;6;n17;20;n18;21
2.502910948502324	S	n14;17;n19;22;n20;23
2.7738261554119075	S	n4;8;n23;24;n24;25
2.861662871177606	L	n15;18
2.861662871177606	T	n10;13;n10;26;n15;27
2.9028419465601423	S	n15;27;n27;28;n28;29
2.9411721024977977	S	n9;12;n31;30;n32;31
2.9729747093130627	S	n28;29;n33;32;n34;33
3.0250122621232984	S	n18;21;n35;34;n36;35
3.0645693707283965	S	n32;31;n37;36;n38;37
3.146229668452691	F	n17;20
3.146229668452691	F	n16;19
3.146229668452691	F	n24;25
3.146229668452691	F	n20;23
3.146229668452691	F	n35;34
3.146229668452691	F	n10;26
3.146229668452691	F	n34;33
3.146229668452691	F	n37;36
3.146229668452691	F	n31;30
3.146229668452691	F	n19;22
3.146229668452691	F	n38;37
3.146229668452691	F	n36;35
3.146229668452691	F	n27;28
3.146229668452691	F	n12;15
3.146229668452691	F	n23;24
3.146229668452691	F	n33;32
